"created_at","full_text","categories","countries","operations"
"2026-03-24 16:40:02","Israeli strikes on Tehran","military_operations","IL;IR","Op. Epic Fury"
"2026-03-24 16:10:03","Strikes on targets across Tehran","military_operations","IR",""
"2026-03-24 15:50:03","New Iranian ballistic missile launch from Iran towards Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-24 12:20:02","Spokesman for Iran’s military command says it will continue to fight 'until complete victory'.","military_operations","IR","Iran Retaliation"
"2026-03-24 12:10:02","The US is set to deploy a 'brigade combat team from the Army's elite 82nd Airborne Division to the Middle East to support operations against Iran', according to Wall Street Journal report.","military_operations","IR",""
"2026-03-24 12:00:02","Trump says Iran has 'agreed they will never have a nuclear weapon'","military_operations;nuclear","IR",""
"2026-03-24 02:20:03","CNN reports that overnight Iran launched 'seven waves of missiles at Israel in less than 10 hours'","military_operations","IL;IR","Iran Retaliation"
"2026-03-23 19:40:02","Iran launches new wave of ballistic missiles at Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-23 14:30:01","Massive blasts heard across Tehran","military_operations","IR",""
"2026-03-23 14:00:02","US officials say they believe it is 'unlikely' to achieve goals including 'overthrowing Iran's theocratic regime and putting a nuclear weapon permanently out of reach', according to Washington Post report.","military_operations;nuclear","IR;US",""
"2026-03-23 12:40:02","Thousands of US Marines are set to arrive in the Middle East on Friday, according to Wall Street Journal report.","military_operations","US",""
"2026-03-23 12:30:03","US senior military officials are 'weighing the deployment' of paratroopers who 'could be used to seize Kharg Island, Iran's main oil export hub', according to NY Times report.","military_operations","IR",""
"2026-03-23 12:30:02","Despite President Trump's statements regarding talks with Iran, there are multiple credible reports of significant US military build-up in the Middle East, particularly of forces that could be used in ground operations.","military_operations;diplomacy_negotiations","IR;US",""
"2026-03-23 12:30:02","Iran launches new wave of missiles towards southern Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-23 12:20:02","The United States military says it has destroyed or damaged over 140 Iranian Navy vessels","military_operations","IR;US",""
"2026-03-23 04:20:03","Trump announces halt to any plans for strikes on Iranian power plants","military_operations","IR",""
"2026-03-23 04:20:03","Oil prices plunge by 10% after Trump post about talks with Iran and halt to plans for strikes on power plants","military_operations;diplomacy_negotiations","IR",""
"2026-03-22 20:00:01","Saudi Arabia has intercepted a ballistic missile that was fired towards its capital Riyadh","military_operations","SA",""
"2026-03-22 19:40:02","Reports of loud blasts in Tehran","military_operations","IR",""
"2026-03-22 17:30:02","4,500 US sailors and Marines are 'heading to the Middle East', according to Washington Post report, in preparation for a 'battle for control of the Strait of Hormuz and key energy installations'.","military_operations","US",""
"2026-03-22 15:00:03","New Iranian ballistic missile attack targeting Central Israel","military_operations","IL;IR","Iran Retaliation"
"2026-03-22 12:10:02","Israeli media outlet Kann reports that the country supports Trump's ultimatum regarding broad attacks on Iranian energy facilities","military_operations;diplomacy_negotiations","IL;IR","Op. Epic Fury"
"2026-03-22 11:50:02","The Israeli military says the conflict against Hezbollah has 'only just begun' and they are prepared for a prolonged campaign","military_operations","IL;LB",""
"2026-03-22 11:40:02","Iran says it will shut the Strait of Hormuz 'completely', and hit vital infrastructure in the region, if Trump goes through with threat to 'obliterate' Iranian power plants if the Strait is not opened within 48 hours.","military_operations","IR",""
"2026-03-22 11:40:02","Cuba's deputy foreign minister says his country is 'prepared' in the case of an unlikely military engagement with the United States, according to Reuters report.","military_operations","US",""
