"incident_id","assessment","munitions_weapons","munitions_quantity","range_km","target_depth_hardening","military_kia_friendly","military_kia_enemy","civilian_kia","military_wia_friendly","personnel_deployed","aircraft_deployed","naval_vessels","nuclear_setback_assessment","economic_impact","intercepted_munitions","key_intelligence_notes","osint_sources","press_sources","think_tank_sources"
"mh-fordow","Fordow was specifically designed to survive conventional bunker-busters. The GBU-57 MOP was developed precisely for this mission. The pre-strike evacuation of uranium indicates Iran had advance warning or a prepared contingency. NBC News later assessed only Fordow was definitively destroyed of the three primary nuclear targets.","GBU-57 MOP (Massive Ordnance Penetrator)","12","11000","80–90m underground inside mountain","0","0","0","0","","7","0","1–2 years (Pentagon); months (IAEA); many years (Israeli AEC)","","","440.9 kg uranium evacuated pre-strike incl. 408.9 kg 60%-enriched (~9 weapons worth); 52 tanker aircraft required; first MOP combat use; NBC News assessed only Fordow definitively destroyed","Oliver Alexander (OSINT) — F-22 deployment 4-day warning|https://twitter.com/OAlexanderDK; MATA — 100+ tankers 200+ cargo tracked|https://twitter.com/MT_Anderson","The War Zone|https://www.thedrive.com/the-war-zone; Air & Space Forces Magazine|https://www.airandspaceforces.com; CNN (satellite imagery)|https://www.cnn.com","CSIS|https://www.csis.org; FDD|https://www.fdd.org"
"mh-natanz","NBC News found that of the three primary targets, only Fordow was definitively destroyed. Two MOPs vs. twelve at Fordow suggests planners underestimated the hardened underground halls.","GBU-57 MOP","2","11000","~8m underground reinforced concrete","0","0","0","0","","7","0","","","","Natanz under IAEA safeguards with cameras and monitoring","Oliver Alexander (OSINT)|https://twitter.com/OAlexanderDK; MATA|https://twitter.com/MT_Anderson","NBC News (assessment: only Fordow destroyed)|https://www.nbcnews.com; The War Zone|https://www.thedrive.com/the-war-zone","Arms Control Association|https://www.armscontrol.org; Arms Control Wonk|https://www.armscontrolwonk.com"
"mh-isfahan","The hidden uranium discovery raises questions about the completeness of Iran's declaration. Pre-strike IAEA assessment did not account for this cache.","BGM-109 Tomahawk TLAM Block IV/V","24+","1600","Surface / shallow","0","0","0","0","","0","13+","","","","IAEA found hidden enriched uranium under Isfahan (Haaretz Feb 27 2026); hidden cache not declared to inspectors","","Haaretz (IAEA Isfahan hidden uranium)|https://www.haaretz.com; CNN|https://www.cnn.com","Arms Control Association|https://www.armscontrol.org"
"tdw-campaign","The F-35I's low-observable design allowed penetration of Iranian S-300 defenses. Destroying 120 TELs in opening phases effectively eliminated Iran's near-term retaliatory ballistic missile capability. Simultaneous decapitation of 40 commanders unprecedented in modern warfare.","Mixed (JDAM; SDB; Spice; Rampage)","1400+ sorties","1000+","Surface and underground","0","40+ senior commanders killed","0","0","","1400+ sorties","0","","","","S-300 batteries unable to track F-35I at combat altitude","","Aviation Week / Defense.info|https://aviationweek.com; Fox News|https://www.foxnews.com","FPRI|https://www.fpri.org; Arms Control Wonk|https://www.armscontrolwonk.com"
"tdw-hezbollah","Preemption over absorption of mass rocket barrage on Israeli cities. Strikes focused on launcher sites rather than leadership — consistent with lessons from prior conflicts about distributed guerrilla organizations.","Mixed (PGMs; guided bombs)","Multiple sorties","","Surface","0","Unknown","0","0","","","","","","","Hezbollah had publicly declared readiness to respond to US-Israeli attacks on Iran","","Fox News|https://www.foxnews.com; Times of Israel|https://www.timesofisrael.com","Soufan Center|https://thesoufancenter.org"
"cia-vzla","Pattern of pre-raid shaping to create ""confusion at the top"" and prevent coordinated Venezuelan military response during Maduro capture window.","Precision munitions (classified)","Classified","","Surface — building","0","Unknown","0","0","","1","0","","","","","@MT_Anderson (X/Twitter)|https://twitter.com/MT_Anderson","CNN|https://www.cnn.com","CFR|https://www.cfr.org"
"ocean-trader","The Sentinel-2 detection demonstrates that free commercial 10m-resolution satellite imagery combined with AIS gap analysis can expose classified SOF mothership operations. Operational security for future similar missions must account for ubiquitous commercial satellite coverage.","N/A","0","","N/A","0","0","0","0","","0","2","","","","Detected by ESA Sentinel-2 (free commercial satellite); @MT_Anderson and The Iceman (Substack) identified vessel publicly before operation commenced; SOF helicopters observed flying over Caracas during raid","@MT_Anderson (X/Twitter)|https://twitter.com/MT_Anderson; The Iceman (Substack)|https://iceman.substack.com; ESA Sentinel-2|https://sentinel.esa.int/web/sentinel/missions/sentinel-2","Maritime Executive|https://maritime-executive.com",""
"abs-resolve","Most significant decapitation operation since Bin Laden. Cuba's loss of 32 officers represents a strategic blow to its military advisory presence embedded in Maduro's security apparatus. Cyber integration consistent with modern US doctrine.","Small arms; precision munitions; helicopter insertion","","","Surface — urban","0","47 VZ soldiers; 32 Cuban officers (colonels to captains)","0","0","15000","150+","0","","Brent crude impact; regional political destabilization","","32 Cuban officers ages 26–60 spanned ranks colonel to captain; cyber effects integrated; SOF helicopters observed flying over Caracas","@MT_Anderson (X/Twitter)|https://twitter.com/MT_Anderson","Breaking Defense|https://breakingdefense.com; NBC News|https://www.nbcnews.com; Military.com|https://www.military.com","CSIS|https://www.csis.org; Brookings|https://www.brookings.edu"
"southern-spear","Multi-domain campaign — air, ground SOF, naval interdiction, and cyber — executed simultaneously. Deliberately disproportionate force to ensure overwhelming superiority and minimize US casualties.","Mixed (PGMs; cruise missiles; JDAM)","Multiple","","Surface — multiple","0","Unknown","0","0","15000","150+","Multiple","","","","15000 US troops in theater; cyber effects on electrical grid and communications; Venezuelan naval vessels interdicted","","CFR|https://www.cfr.org; ABC News|https://abcnews.go.com","Brookings|https://www.brookings.edu"
"buildup","ADS-B receivers and commercial satellites made the buildup visible globally before the first strike. Even F-22 stealth aircraft deployments left exploitable indicators. Future US operations must factor in adversaries likely having comparable warning time.","N/A — buildup phase","0","","N/A","0","0","0","0","150000+","150+","13","","","","100+ tankers tracked; 200+ cargo flights tracked; F-22 deployment patterns identified; largest Middle East force in decades","MATA (Military Air Tracking Alliance)|https://twitter.com/MT_Anderson; Oliver Alexander (OSINT)|https://twitter.com/OAlexanderDK; @MT_Anderson (X/Twitter)|https://twitter.com/MT_Anderson","Washington Post (Feb 24 2026)|https://www.washingtonpost.com; Military Times|https://www.militarytimes.com","Middle East Forum|https://www.meforum.org"
