"keywords","countries","label","url","caption","credit"
"pokrovsk;kharkiv;kherson;avdiivka;donetsk;zaporizhzhia;bakhmut;sumy;russian shelling;front line","UA;RU","Avdiivka After Russian Shelling","https://upload.wikimedia.org/wikipedia/commons/b/bb/Avdiivka_after_Russian_shelling%2C_2023-09-18_%2801%29.jpg","War damage in Avdiivka, eastern Ukraine, after Russian shelling.","MIA of Ukraine / Wikimedia Commons (CC BY 4.0)"
"kremlin;moscow;putin;russia;russian","RU","Moscow Kremlin","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Moscow_Kremlin_from_Kamenny_bridge.jpg/1280px-Moscow_Kremlin_from_Kamenny_bridge.jpg","The Moscow Kremlin, seat of the Russian government.","Wikimedia Commons (CC BY-SA 3.0)"
"kyiv;dnipro;ukrainian capital","UA","Kyiv Skyline","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Kyiv_skyline_%2815688086793%29.jpg/1280px-Kyiv_skyline_%2815688086793%29.jpg","The Kyiv skyline over the Dnipro River.","Wikimedia Commons (CC BY 2.0)"
"venezuela;caracas;maduro;pdvsa;essequibo;guyana","VE","Caracas Skyline","https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Panoramic_View_of_Caracas_from_Militar_Hospital.jpg/1280px-Panoramic_View_of_Caracas_from_Militar_Hospital.jpg","Panorama of Caracas, the Venezuelan capital.","Wikimedia Commons (CC BY-SA 4.0)"
"miraflores;presidential palace;venezuelan government;amnesty;prisoners","VE","Palacio de Miraflores","https://upload.wikimedia.org/wikipedia/commons/d/de/Palacio_de_Miraflores.jpg","Palacio de Miraflores, the presidential palace in Caracas.","Wikimedia Commons (CC BY-SA 3.0)"
"gerald r. ford;uss gerald;aircraft carrier;carrier strike group","US","USS Gerald R. Ford","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/USS_Gerald_R._Ford_%28CVN-78%29_underway_on_8_April_2017.JPG/1280px-USS_Gerald_R._Ford_%28CVN-78%29_underway_on_8_April_2017.JPG","The aircraft carrier USS Gerald R. Ford underway.","US Navy / Wikimedia Commons (public domain)"
"midterm;senate;congress;capitol;house of representatives;government shutdown;speaker;filibuster;redistricting","US","US Capitol","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/United_States_Capitol_west_front_edit2.jpg/1280px-United_States_Capitol_west_front_edit2.jpg","The United States Capitol, Washington, D.C.","Architect of the Capitol / Wikimedia Commons (public domain)"
"white house;approval rating;furlough;impeachment","US","The White House","https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/WhiteHouseSouthFacade.JPG/1280px-WhiteHouseSouthFacade.JPG","The White House, Washington, D.C.","Wikimedia Commons (public domain)"
"ballot;polling;kalshi;voters;election;primary election","US","Voting in the United States","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Voting_United_States.jpg/1280px-Voting_United_States.jpg","Voters cast ballots at a US polling place.","Wikimedia Commons (public domain)"
"yermak;nabu;corruption;energoatom;mindich","UA","Maidan Nezalezhnosti, Kyiv","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Independence_Square%2C_Maidan_Nezalezhnosti%2C_Kiev_%2829826701728%29.jpg/1280px-Independence_Square%2C_Maidan_Nezalezhnosti%2C_Kiev_%2829826701728%29.jpg","Maidan Nezalezhnosti (Independence Square), Kyiv.","Wikimedia Commons (CC BY 2.0)"
"hormuz;chokepoint","IR;AE;OM;US","Strait of Hormuz — Orbital View","https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/STS004-37-716_-_Strait_of_Hormuz.jpg/1280px-STS004-37-716_-_Strait_of_Hormuz.jpg","The Strait of Hormuz from orbit — ~20% of global oil transits this chokepoint.","NASA / Wikimedia Commons (public domain)"
"tanker","","Oil Tankers at Anchor","https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Tankers_in_Scapa_Flow_-_Mainland_Orkney_-_kingsley_-_29-JUN-09.JPG/1280px-Tankers_in_Scapa_Flow_-_Mainland_Orkney_-_kingsley_-_29-JUN-09.JPG","Oil tankers at anchor (file photo).","Gregory J Kingsley / Wikimedia Commons (CC BY-SA 3.0)"
"naval;warship;destroyer","US","US Navy Guided-Missile Destroyer","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/USS_Arleigh_Burke_%28DDG_51%29_140417-N-WD757-225_%2813897844856%29.jpg/1280px-USS_Arleigh_Burke_%28DDG_51%29_140417-N-WD757-225_%2813897844856%29.jpg","Arleigh Burke-class guided-missile destroyer (file photo).","US Navy / Wikimedia Commons (public domain)"
"natanz;fordow;enrichment;iaea;uranium","IR","Natanz Enrichment Site — Satellite","https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Atomanlage_Natanz_%282022%29.jpg/1280px-Atomanlage_Natanz_%282022%29.jpg","Satellite view of Iranian nuclear enrichment infrastructure at Natanz.","DigitalGlobe / IAEA (OSINT)"
"airstrike;air strike;bomber;b-2","US","B-2 Spirit Stealth Bomber","https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/B-2_Spirit_original.jpg/1280px-B-2_Spirit_original.jpg","B-2 Spirit dropping ordnance (file photo).","USAF / Wikimedia Commons (public domain)"
"shahed;drone","","Shahed-136 Loitering Munition","https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Shahed_136_rendering.png/1280px-Shahed_136_rendering.png","Shahed-136 loitering munition — mainstay of Iranian drone barrages.","Wikimedia Commons (public domain)"
"missile;ballistic;sirens","","Patriot PAC-3 Intercept","https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/74th_Patriot_Regiment_missile_launch.jpg/1280px-74th_Patriot_Regiment_missile_launch.jpg","Patriot PAC-3 air-defense launch (file photo).","US Army / Wikimedia Commons (public domain)"
"tomahawk;cruise missile launch","US","Tomahawk VLS Launch","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Tomahawk_Block_IV_launch.jpg/1280px-Tomahawk_Block_IV_launch.jpg","Tomahawk Block IV launch from a Vertical Launch System (file photo).","US Navy / Wikimedia Commons (public domain)"
"oil price;crude;opec;brent;wti;oil market","","Oil Production — Pumpjacks","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Pumpjacks.JPG/1280px-Pumpjacks.JPG","Crude oil pumpjacks (file photo).","Arnold Paul / Wikimedia Commons (CC BY-SA 3.0)"
"blackout;power grid;power outage;power plant","","High-Voltage Transmission Lines","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Power_lines_during_Blue_Hour_BW.jpg/1280px-Power_lines_during_Blue_Hour_BW.jpg","High-voltage transmission lines (file photo).","PumpkinSky / Wikimedia Commons (CC BY-SA 3.0)"
"qatar;doha","QA","Doha Skyline","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Doha_Skyline_01.jpg/1280px-Doha_Skyline_01.jpg","The Doha skyline, Qatar.","Zairon / Wikimedia Commons (CC BY 4.0)"
"carrier;shandong;liaoning","CN","PLA Navy Aircraft Carrier","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Chinese_carrier_Liaoning_CV-16_-_Transferred_to_People%27s_Liberation_Army_Navy.jpg/1280px-Chinese_carrier_Liaoning_CV-16_-_Transferred_to_People%27s_Liberation_Army_Navy.jpg","PLA Navy aircraft carrier (file photo).","Wikimedia Commons (public domain)"
"taiwan;adiz","CN;TW","H-6K Bomber — PLAAF","https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/H-6K_bomber.jpg/1280px-H-6K_bomber.jpg","PLAAF H-6K bomber (file photo).","Wikimedia Commons (public domain)"
"world cup;fifa","","Football Stadium Under Lights","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Falmer_Stadium_-_night.jpg/1280px-Falmer_Stadium_-_night.jpg","Football stadium under lights (file photo).","Wikimedia Commons (CC BY 2.0)"
"scarborough;second thomas;south china sea;coast guard","CN;PH","China Coast Guard Vessel","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/China_coast_guard_vessel.jpg/1280px-China_coast_guard_vessel.jpg","China Coast Guard vessel (file photo).","Wikimedia Commons (public domain)"
