"incident_id","operation_name","incident_title","date","incident_type","strike_type","confirmed","origin_lat","origin_lng","origin_label","origin_sublabel","target_lat","target_lng","target_label","target_sublabel","summary","target_type","platform_or_unit","result_outcome","tags","source_type","is_retaliation","is_covert","is_first_use","disputed"
"mh-fordow","Op. Midnight Hammer","GBU-57 MOP Strike: Fordow Nuclear Facility","June 2025","strike","bomber","TRUE","-7.32","72.42","Diego Garcia BIOT","B-2 Spirit launch base","34.88","50.5","Fordow Fuel Enrichment Plant","~90m underground Qom Province","Seven B-2 Spirit stealth bombers flew round-trip from Diego Garcia carrying GBU-57 Massive Ordnance Penetrators — the only weapon capable of penetrating Fordow's deep underground bunker buried ~80–90m inside a mountain near Qom. 52 tanker aircraft required for aerial refueling support. Twelve MOPs required vs. two at Natanz reflecting extreme hardening. Iran pre-evacuated 440.9 kg enriched uranium including 408.9 kg at 60%-enriched (~9 weapons worth).","Nuclear enrichment facility","B-2 Spirit stealth bomber","Facility destroyed","MOP FIRST USE; NUCLEAR STRIKE; B-2 SPIRIT; GBU-57; DIEGO GARCIA","curated","FALSE","FALSE","TRUE","FALSE"
"mh-natanz","Op. Midnight Hammer","GBU-57 Strike: Natanz Enrichment Complex","June 2025","strike","bomber","TRUE","-7.32","72.42","Diego Garcia BIOT","B-2 Spirit launch base","33.72","51.73","Natanz Underground Enrichment","Isfahan Province Iran","Secondary MOP strike on Natanz. Two MOPs deployed vs. 12 at Fordow reflecting shallower burial depth (~8m). Natanz houses thousands of IR-1 IR-4 IR-6 centrifuges. NBC News assessed destruction as partial and effectiveness disputed.","Nuclear enrichment facility","B-2 Spirit stealth bomber","Partial destruction — effectiveness disputed","NATANZ; CENTRIFUGE HALLS; B-2 SPIRIT; PARTIAL EFFECT","curated","FALSE","FALSE","FALSE","TRUE"
"mh-isfahan","Op. Midnight Hammer","Tomahawk Barrage: Isfahan Nuclear Complex","June 2025","strike","missile","FALSE","25.8","57.0","US Navy Persian Gulf / Gulf of Oman","Arleigh Burke-class destroyers","32.65","51.67","Isfahan Nuclear Technology Centre","Isfahan Province Iran","Tomahawk TLAM barrage (24+) on Isfahan nuclear research facilities including uranium conversion and fuel fabrication. IAEA later found Iran had secretly stored enriched uranium under the Isfahan site — a hidden cache not declared to inspectors before the strikes.","Nuclear research and conversion facility","Arleigh Burke-class destroyer","Partial destruction","TOMAHAWK; TLAM; HIDDEN CACHE; IAEA","curated","FALSE","FALSE","FALSE","FALSE"
"tdw-campaign","12-Day War (IDF)","IDF 12-Day Air Campaign: Iran","June 2025","strike","fighter","TRUE","31.9","34.8","Israel Multiple IAF Bases","Nevatim, Ramon, Tel Nof AFBs","35.68","51.39","Tehran & Iranian Military Targets","IRGC, C2, TEL sites, air defense","Israel's most expansive offensive air campaign since 1973. 1400+ sorties over 12 days. F-35I Adir as primary platform for stealth penetration of Iranian air defenses. Opening salvo simultaneously eliminated 40 senior IRGC commanders. 120 Iranian TELs destroyed eliminating primary ballistic missile delivery capacity.","IRGC C2, TEL sites, air defense, leadership","F-35I Adir / F-15I Ra'am / F-16I Sufa","120 TELs destroyed; 40 commanders killed; S-300 batteries neutralized","F-35I ADIR; 1400+ SORTIES; 120 TELS; 40 COMMANDERS","curated","FALSE","FALSE","FALSE","FALSE"
"tdw-hezbollah","12-Day War (IDF)","IDF Preemptive Strikes: Hezbollah Lebanon","June 2025","strike","fighter","TRUE","31.9","34.8","Israel IAF Northern Command","Ramat David, Haifa area","33.55","35.6","Hezbollah Positions Southern Lebanon","Bekaa Valley, southern suburb launches","IDF preemptive suppression strikes against Hezbollah missile and rocket infrastructure after Hezbollah declared readiness to respond to US-Israeli strikes on Iran. IDF prioritized launcher sites weapons storage and command nodes.","Hezbollah missile/rocket infrastructure","F-16I Sufa / F-15I Ra'am","Hezbollah launch capability suppressed","HEZBOLLAH; LEBANON; PREEMPTIVE; IAF","curated","FALSE","FALSE","FALSE","FALSE"
"cia-vzla","Op. Absolute Resolve","CIA Covert Drone Strike: Venezuela","Dec 29 2025","strike","drone","FALSE","19.5","-72.5","CIA Caribbean Platform Classified","Covert action — platform undisclosed","10.48","-66.9","Caracas Venezuela","Venezuelan intelligence/military leadership","Classified CIA covert action drone strike on Venezuelan military and intelligence leadership in Caracas. Precursor kinetic action before the main Op. Absolute Resolve SOF assault. Targeted Venezuelan state security apparatus to degrade response capability during the Maduro capture window.","Military/intelligence leadership","CIA armed drone (type classified)","Leadership degraded — precursor to SOF raid","CIA COVERT; DRONE STRIKE; DEC 29 2025; PRE-CURSOR OP","curated","FALSE","TRUE","FALSE","FALSE"
"ocean-trader","Op. Absolute Resolve","MV Ocean Trader: SOF Mothership Staging","Dec 2025","strike","naval","TRUE","18.5","-73.5","MV Ocean Trader converted civilian vessel","OSINT-tracked via ESA Sentinel-2","10.9","-64.7","Venezuelan Caribbean Coast","SOF launch/recovery area","MV Ocean Trader — converted civilian cargo vessel serving as classified SOF maritime staging platform — tracked via ESA Sentinel-2 commercial satellite imagery by OSINT analysts. USS Lake Erie (Ticonderoga-class CG-70) escorted vessel ~200nm off Venezuelan coast. SOF helicopters later observed departing for the Caracas raid.","Maritime staging / forward operating base","MV Ocean Trader (SOF mothership); USS Lake Erie (CG-70)","SOF forward staging established","SOF MOTHERSHIP; OSINT TRACKED; SENTINEL-2; USS LAKE ERIE","curated","FALSE","TRUE","FALSE","FALSE"
"abs-resolve","Op. Absolute Resolve","Op. Absolute Resolve: Maduro Captured","January 2026","strike","sof","TRUE","14.5","-75.0","MV Ocean Trader + Forward Staging","~150nm Caribbean staging","10.48","-66.9","Caracas Presidential/Military Compound","Target: Nicolás Maduro","SOF raid on Caracas via helicopters from MV Ocean Trader. Maduro captured and taken into US custody. 47 Venezuelan soldiers killed; 32 Cuban military personnel (colonels to captains ages 26–60) killed — a significant blow to Cuba's military footprint in Venezuela. Zero US casualties. Cyber effects integrated with kinetic operation.","Presidential compound / military HQ","Special Operations Forces (unit classified)","Maduro CAPTURED","MADURO CAPTURED; SOF OPERATION; 32 CUBAN KIA; 0 US KIA; CYBER+KINETIC","curated","FALSE","FALSE","FALSE","FALSE"
"southern-spear","Op. Southern Spear","Op. Southern Spear: 150-Aircraft Air Campaign","January 2026","strike","fighter","TRUE","15.0","-68.0","US Caribbean Carrier Strike Group + Bases","USS CARRIER + SOUTHCOM assets","8.5","-65.5","Venezuela Multiple Military Targets","FANB bases, air defense, C2 nodes","Broader air campaign accompanying Absolute Resolve. 150+ aircraft striking Venezuelan Armed Forces (FANB) infrastructure simultaneously with SOF assault on Caracas. Largest US military action in Western Hemisphere in decades. Cyber component integrated targeting electrical grid and communications.","FANB air defense / C2 / naval bases / airports","Mixed carrier air wing + land-based aircraft","FANB infrastructure degraded","150 AIRCRAFT; 15K PERSONNEL; MULTI-DOMAIN; WESTERN HEMISPHERE","curated","FALSE","FALSE","FALSE","FALSE"
"buildup","Op. Epic Fury","OSINT: Pre-Epic Fury Military Buildup Detected","Feb 2026","diplomatic","intel","FALSE","36.0","-95.0","CONUS US Bases / Carrier Ports","US military pre-deployment","26.5","55.0","Middle East Theater","Persian Gulf, Red Sea, Diego Garcia","Open-source analysts detected the pre-Epic Fury buildup weeks in advance. MATA tracked 100+ tankers and 200+ cargo planes to Middle East. Oliver Alexander identified F-22 deployments and issued 4-day warning. WaPo documented buildup Feb 24 2026. Largest Middle East force in decades per Military Times.","Multiple bases across Middle East","Multiple services — pre-deployment phase","Pre-strike buildup detected and publicly reported 4 days prior","OSINT VISIBLE; 4-DAY WARNING; 100+ TANKERS; MATA TRACKING","curated","FALSE","FALSE","FALSE","FALSE"
