"incident_id","operation_name","operation_color","incident_title","date","date_sort_value","strike_type","confirmed","origin_lat","origin_lng","origin_label","origin_sublabel","target_lat","target_lng","target_label","target_sublabel","summary","assessment","platform_or_unit","munitions_weapons","munitions_quantity","range_km","target_type","target_depth_hardening","military_kia_friendly","military_kia_enemy","civilian_kia","military_wia_friendly","personnel_deployed","aircraft_deployed","naval_vessels","result_outcome","nuclear_setback_assessment","economic_impact","intercepted_munitions","key_intelligence_notes","osint_sources","press_sources","think_tank_sources","tags","badge_colors","is_retaliation","is_covert","is_first_use","disputed"
"mh-fordow","Op. Midnight Hammer","#29b6f6","GBU-57 MOP Strike: Fordow Nuclear Facility","June 2025","0","bomber","TRUE","-7.32","72.42","Diego Garcia BIOT","B-2 Spirit launch base","34.88","50.5","Fordow Fuel Enrichment Plant","~90m underground Qom Province","Seven B-2 Spirit stealth bombers flew round-trip from Diego Garcia carrying GBU-57 Massive Ordnance Penetrators — the only weapon capable of penetrating Fordow's deep underground bunker buried ~80–90m inside a mountain near Qom. 52 tanker aircraft required for aerial refueling support. Twelve MOPs required vs. two at Natanz reflecting extreme hardening. Iran pre-evacuated 440.9 kg enriched uranium including 408.9 kg at 60%-enriched (~9 weapons worth).","Fordow was specifically designed to survive conventional bunker-busters. The GBU-57 MOP was developed precisely for this mission. The pre-strike evacuation of uranium indicates Iran had advance warning or a prepared contingency. NBC News later assessed only Fordow was definitively destroyed of the three primary nuclear targets.","B-2 Spirit stealth bomber","GBU-57 MOP (Massive Ordnance Penetrator)","12","11000","Nuclear enrichment facility","80–90m underground inside mountain","0","0","0","0","","7","0","Facility destroyed","1–2 years (Pentagon); months (IAEA); many years (Israeli AEC)","","","440.9 kg uranium evacuated pre-strike incl. 408.9 kg 60%-enriched (~9 weapons worth); 52 tanker aircraft required; first MOP combat use; NBC News assessed only Fordow definitively destroyed","Oliver Alexander (OSINT) — F-22 deployment 4-day warning|https://twitter.com/OAlexanderDK; MATA — 100+ tankers 200+ cargo tracked|https://twitter.com/MT_Anderson","The War Zone|https://www.thedrive.com/the-war-zone; Air & Space Forces Magazine|https://www.airandspaceforces.com; CNN (satellite imagery)|https://www.cnn.com","CSIS|https://www.csis.org; FDD|https://www.fdd.org","MOP FIRST USE; NUCLEAR STRIKE; B-2 SPIRIT; GBU-57; DIEGO GARCIA","gold;red;blue;blue;blue","FALSE","FALSE","TRUE","FALSE"
"mh-natanz","Op. Midnight Hammer","#29b6f6","GBU-57 Strike: Natanz Enrichment Complex","June 2025","1","bomber","TRUE","-7.32","72.42","Diego Garcia BIOT","B-2 Spirit launch base","33.72","51.73","Natanz Underground Enrichment","Isfahan Province Iran","Secondary MOP strike on Natanz. Two MOPs deployed vs. 12 at Fordow reflecting shallower burial depth (~8m). Natanz houses thousands of IR-1 IR-4 IR-6 centrifuges. NBC News assessed destruction as partial and effectiveness disputed.","NBC News found that of the three primary targets, only Fordow was definitively destroyed. Two MOPs vs. twelve at Fordow suggests planners underestimated the hardened underground halls.","B-2 Spirit stealth bomber","GBU-57 MOP","2","11000","Nuclear enrichment facility","~8m underground reinforced concrete","0","0","0","0","","7","0","Partial destruction — effectiveness disputed","","","","Natanz under IAEA safeguards with cameras and monitoring","Oliver Alexander (OSINT)|https://twitter.com/OAlexanderDK; MATA|https://twitter.com/MT_Anderson","NBC News (assessment: only Fordow destroyed)|https://www.nbcnews.com; The War Zone|https://www.thedrive.com/the-war-zone","Arms Control Association|https://www.armscontrol.org; Arms Control Wonk|https://www.armscontrolwonk.com","NATANZ; CENTRIFUGE HALLS; B-2 SPIRIT; PARTIAL EFFECT","blue;blue;blue;red","FALSE","FALSE","FALSE","TRUE"
"mh-isfahan","Op. Midnight Hammer","#29b6f6","Tomahawk Barrage: Isfahan Nuclear Complex","June 2025","2","missile","FALSE","25.8","57.0","US Navy Persian Gulf / Gulf of Oman","Arleigh Burke-class destroyers","32.65","51.67","Isfahan Nuclear Technology Centre","Isfahan Province Iran","Tomahawk TLAM barrage (24+) on Isfahan nuclear research facilities including uranium conversion and fuel fabrication. IAEA later found Iran had secretly stored enriched uranium under the Isfahan site — a hidden cache not declared to inspectors before the strikes.","The hidden uranium discovery raises questions about the completeness of Iran's declaration. Pre-strike IAEA assessment did not account for this cache.","Arleigh Burke-class destroyer","BGM-109 Tomahawk TLAM Block IV/V","24+","1600","Nuclear research and conversion facility","Surface / shallow","0","0","0","0","","0","13+","Partial destruction","","","","IAEA found hidden enriched uranium under Isfahan (Haaretz Feb 27 2026); hidden cache not declared to inspectors","","Haaretz (IAEA Isfahan hidden uranium)|https://www.haaretz.com; CNN|https://www.cnn.com","Arms Control Association|https://www.armscontrol.org","TOMAHAWK; TLAM; HIDDEN CACHE; IAEA","blue;blue;red;gold","FALSE","FALSE","FALSE","FALSE"
"tdw-campaign","12-Day War (IDF)","#ce93d8","IDF 12-Day Air Campaign: Iran","June 2025","3","fighter","TRUE","31.9","34.8","Israel Multiple IAF Bases","Nevatim, Ramon, Tel Nof AFBs","35.68","51.39","Tehran & Iranian Military Targets","IRGC, C2, TEL sites, air defense","Israel's most expansive offensive air campaign since 1973. 1400+ sorties over 12 days. F-35I Adir as primary platform for stealth penetration of Iranian air defenses. Opening salvo simultaneously eliminated 40 senior IRGC commanders. 120 Iranian TELs destroyed eliminating primary ballistic missile delivery capacity.","The F-35I's low-observable design allowed penetration of Iranian S-300 defenses. Destroying 120 TELs in opening phases effectively eliminated Iran's near-term retaliatory ballistic missile capability. Simultaneous decapitation of 40 commanders unprecedented in modern warfare.","F-35I Adir / F-15I Ra'am / F-16I Sufa","Mixed (JDAM; SDB; Spice; Rampage)","1400+ sorties","1000+","IRGC C2, TEL sites, air defense, leadership","Surface and underground","0","40+ senior commanders killed","0","0","","1400+ sorties","0","120 TELs destroyed; 40 commanders killed; S-300 batteries neutralized","","","","S-300 batteries unable to track F-35I at combat altitude","","Aviation Week / Defense.info|https://aviationweek.com; Fox News|https://www.foxnews.com","FPRI|https://www.fpri.org; Arms Control Wonk|https://www.armscontrolwonk.com","F-35I ADIR; 1400+ SORTIES; 120 TELS; 40 COMMANDERS","purple;blue;red;red","FALSE","FALSE","FALSE","FALSE"
"tdw-hezbollah","12-Day War (IDF)","#ce93d8","IDF Preemptive Strikes: Hezbollah Lebanon","June 2025","4","fighter","TRUE","31.9","34.8","Israel IAF Northern Command","Ramat David, Haifa area","33.55","35.6","Hezbollah Positions Southern Lebanon","Bekaa Valley, southern suburb launches","IDF preemptive suppression strikes against Hezbollah missile and rocket infrastructure after Hezbollah declared readiness to respond to US-Israeli strikes on Iran. IDF prioritized launcher sites weapons storage and command nodes.","Preemption over absorption of mass rocket barrage on Israeli cities. Strikes focused on launcher sites rather than leadership — consistent with lessons from prior conflicts about distributed guerrilla organizations.","F-16I Sufa / F-15I Ra'am","Mixed (PGMs; guided bombs)","Multiple sorties","","Hezbollah missile/rocket infrastructure","Surface","0","Unknown","0","0","","","","Hezbollah launch capability suppressed","","","","Hezbollah had publicly declared readiness to respond to US-Israeli attacks on Iran","","Fox News|https://www.foxnews.com; Times of Israel|https://www.timesofisrael.com","Soufan Center|https://thesoufancenter.org","HEZBOLLAH; LEBANON; PREEMPTIVE; IAF","red;red;gold;purple","FALSE","FALSE","FALSE","FALSE"
"cia-vzla","Op. Absolute Resolve","#66bb6a","CIA Covert Drone Strike: Venezuela","Dec 29 2025","32","drone","FALSE","19.5","-72.5","CIA Caribbean Platform Classified","Covert action — platform undisclosed","10.48","-66.9","Caracas Venezuela","Venezuelan intelligence/military leadership","Classified CIA covert action drone strike on Venezuelan military and intelligence leadership in Caracas. Precursor kinetic action before the main Op. Absolute Resolve SOF assault. Targeted Venezuelan state security apparatus to degrade response capability during the Maduro capture window.","Pattern of pre-raid shaping to create ""confusion at the top"" and prevent coordinated Venezuelan military response during Maduro capture window.","CIA armed drone (type classified)","Precision munitions (classified)","Classified","","Military/intelligence leadership","Surface — building","0","Unknown","0","0","","1","0","Leadership degraded — precursor to SOF raid","","","","","@MT_Anderson (X/Twitter)|https://twitter.com/MT_Anderson","CNN|https://www.cnn.com","CFR|https://www.cfr.org","CIA COVERT; DRONE STRIKE; DEC 29 2025; PRE-CURSOR OP","red;blue;gold;orange","FALSE","TRUE","FALSE","FALSE"
"ocean-trader","Op. Absolute Resolve","#66bb6a","MV Ocean Trader: SOF Mothership Staging","Dec 2025","33","naval","TRUE","18.5","-73.5","MV Ocean Trader converted civilian vessel","OSINT-tracked via ESA Sentinel-2","10.9","-64.7","Venezuelan Caribbean Coast","SOF launch/recovery area","MV Ocean Trader — converted civilian cargo vessel serving as classified SOF maritime staging platform — tracked via ESA Sentinel-2 commercial satellite imagery by OSINT analysts. USS Lake Erie (Ticonderoga-class CG-70) escorted vessel ~200nm off Venezuelan coast. SOF helicopters later observed departing for the Caracas raid.","The Sentinel-2 detection demonstrates that free commercial 10m-resolution satellite imagery combined with AIS gap analysis can expose classified SOF mothership operations. Operational security for future similar missions must account for ubiquitous commercial satellite coverage.","MV Ocean Trader (SOF mothership); USS Lake Erie (CG-70)","N/A","0","","Maritime staging / forward operating base","N/A","0","0","0","0","","0","2","SOF forward staging established","","","","Detected by ESA Sentinel-2 (free commercial satellite); @MT_Anderson and The Iceman (Substack) identified vessel publicly before operation commenced; SOF helicopters observed flying over Caracas during raid","@MT_Anderson (X/Twitter)|https://twitter.com/MT_Anderson; The Iceman (Substack)|https://iceman.substack.com; ESA Sentinel-2|https://sentinel.esa.int/web/sentinel/missions/sentinel-2","Maritime Executive|https://maritime-executive.com","","SOF MOTHERSHIP; OSINT TRACKED; SENTINEL-2; USS LAKE ERIE","green;gold;blue;blue","FALSE","TRUE","FALSE","FALSE"
"abs-resolve","Op. Absolute Resolve","#66bb6a","Op. Absolute Resolve: Maduro Captured","January 2026","45","sof","TRUE","14.5","-75.0","MV Ocean Trader + Forward Staging","~150nm Caribbean staging","10.48","-66.9","Caracas Presidential/Military Compound","Target: Nicolás Maduro","SOF raid on Caracas via helicopters from MV Ocean Trader. Maduro captured and taken into US custody. 47 Venezuelan soldiers killed; 32 Cuban military personnel (colonels to captains ages 26–60) killed — a significant blow to Cuba's military footprint in Venezuela. Zero US casualties. Cyber effects integrated with kinetic operation.","Most significant decapitation operation since Bin Laden. Cuba's loss of 32 officers represents a strategic blow to its military advisory presence embedded in Maduro's security apparatus. Cyber integration consistent with modern US doctrine.","Special Operations Forces (unit classified)","Small arms; precision munitions; helicopter insertion","","","Presidential compound / military HQ","Surface — urban","0","47 VZ soldiers; 32 Cuban officers (colonels to captains)","0","0","15000","150+","0","Maduro CAPTURED","","Brent crude impact; regional political destabilization","","32 Cuban officers ages 26–60 spanned ranks colonel to captain; cyber effects integrated; SOF helicopters observed flying over Caracas","@MT_Anderson (X/Twitter)|https://twitter.com/MT_Anderson","Breaking Defense|https://breakingdefense.com; NBC News|https://www.nbcnews.com; Military.com|https://www.military.com","CSIS|https://www.csis.org; Brookings|https://www.brookings.edu","MADURO CAPTURED; SOF OPERATION; 32 CUBAN KIA; 0 US KIA; CYBER+KINETIC","gold;green;red;green;blue","FALSE","FALSE","FALSE","FALSE"
"southern-spear","Op. Southern Spear","#4db6ac","Op. Southern Spear: 150-Aircraft Air Campaign","January 2026","46","fighter","TRUE","15.0","-68.0","US Caribbean Carrier Strike Group + Bases","USS CARRIER + SOUTHCOM assets","8.5","-65.5","Venezuela Multiple Military Targets","FANB bases, air defense, C2 nodes","Broader air campaign accompanying Absolute Resolve. 150+ aircraft striking Venezuelan Armed Forces (FANB) infrastructure simultaneously with SOF assault on Caracas. Largest US military action in Western Hemisphere in decades. Cyber component integrated targeting electrical grid and communications.","Multi-domain campaign — air, ground SOF, naval interdiction, and cyber — executed simultaneously. Deliberately disproportionate force to ensure overwhelming superiority and minimize US casualties.","Mixed carrier air wing + land-based aircraft","Mixed (PGMs; cruise missiles; JDAM)","Multiple","","FANB air defense / C2 / naval bases / airports","Surface — multiple","0","Unknown","0","0","15000","150+","Multiple","FANB infrastructure degraded","","","","15000 US troops in theater; cyber effects on electrical grid and communications; Venezuelan naval vessels interdicted","","CFR|https://www.cfr.org; ABC News|https://abcnews.go.com","Brookings|https://www.brookings.edu","150 AIRCRAFT; 15K PERSONNEL; MULTI-DOMAIN; WESTERN HEMISPHERE","blue;blue;gold;gold","FALSE","FALSE","FALSE","FALSE"
"buildup","Op. Epic Fury","#ffa726","OSINT: Pre-Epic Fury Military Buildup Detected","Feb 2026","62","intel","FALSE","36.0","-95.0","CONUS US Bases / Carrier Ports","US military pre-deployment","26.5","55.0","Middle East Theater","Persian Gulf, Red Sea, Diego Garcia","Open-source analysts detected the pre-Epic Fury buildup weeks in advance. MATA tracked 100+ tankers and 200+ cargo planes to Middle East. Oliver Alexander identified F-22 deployments and issued 4-day warning. WaPo documented buildup Feb 24 2026. Largest Middle East force in decades per Military Times.","ADS-B receivers and commercial satellites made the buildup visible globally before the first strike. Even F-22 stealth aircraft deployments left exploitable indicators. Future US operations must factor in adversaries likely having comparable warning time.","Multiple services — pre-deployment phase","N/A — buildup phase","0","","Multiple bases across Middle East","N/A","0","0","0","0","150000+","150+","13","Pre-strike buildup detected and publicly reported 4 days prior","","","","100+ tankers tracked; 200+ cargo flights tracked; F-22 deployment patterns identified; largest Middle East force in decades","MATA (Military Air Tracking Alliance)|https://twitter.com/MT_Anderson; Oliver Alexander (OSINT)|https://twitter.com/OAlexanderDK; @MT_Anderson (X/Twitter)|https://twitter.com/MT_Anderson","Washington Post (Feb 24 2026)|https://www.washingtonpost.com; Military Times|https://www.militarytimes.com","Middle East Forum|https://www.meforum.org","OSINT VISIBLE; 4-DAY WARNING; 100+ TANKERS; MATA TRACKING","gold;orange;blue;blue","FALSE","FALSE","FALSE","FALSE"
