source_id,name,aliases,category,kind,domain,handle,feed_url,query,perspective,source_country,scope,status,added_by,added_at,corrected_from,last_ok_at,last_items,notes
bbc-world,BBC World,BBC;BBC News;BBC World News;BBC World Service,Official news channels,rss,bbc.co.uk,,https://feeds.bbci.co.uk/news/world/rss.xml,,western-uk,GB,wire,active,seed,2026-07-28,,2026-08-21T17:56:47Z,33,Pulled by pull_wires.py
dw-english,DW English,DW;Deutsche Welle;DW News,Official news channels,rss,dw.com,,https://rss.dw.com/rdf/rss-en-world,,german,DE,wire,active,seed,2026-07-28,,2026-08-21T17:56:47Z,12,Pulled by pull_wires.py
al-jazeera,Al Jazeera,AlJazeera;Al Jazeera English;AJE;Al-Jazeera,Official news channels,rss,aljazeera.com,,https://www.aljazeera.com/xml/rss/all.xml,,gulf,QA,wire,active,seed,2026-07-28,,2026-08-21T17:58:59Z,1,Pulled by pull_wires.py
un-news,UN News,United Nations News;UN;UN News Centre,Official news channels,rss,news.un.org,,https://news.un.org/feed/subscribe/en/news/all/rss.xml,,institutional,UN,wire,active,seed,2026-07-28,,2026-08-21T17:56:47Z,14,Pulled by pull_wires.py
bno-news,BNO News,BNO;BNONews,Official news channels,rss,bnonews.com,,https://bnonews.com/index.php/feed/,,wire-fast,,wire,active,seed,2026-07-28,,2026-08-21T17:56:47Z,10,Fast-lead breaking wire
gdelt-ru-ukraine,GDELT/RU Ukraine,GDELT RU;GDELT Russia,Official news channels,gdelt,gdeltproject.org,,,ukraine sourcecountry:RS sourcelang:english,russia,RU,wire,active,seed,2026-07-28,,2026-08-21T17:56:47Z,32,Russian-reported Ukraine coverage
gdelt-cn-taiwan,GDELT/CN Taiwan,GDELT CN;GDELT China,Official news channels,gdelt,gdeltproject.org,,,taiwan sourcecountry:CH sourcelang:english,chinese,CN,wire,active,seed,2026-07-28,,2026-08-21T17:56:47Z,58,Chinese-reported Taiwan coverage
gdelt-ir-mideast,GDELT/IR MidEast,GDELT IR;GDELT Iran,Official news channels,gdelt,gdeltproject.org,,,israel sourcecountry:IR sourcelang:english,iranian,IR,wire,active,seed,2026-07-28,,2026-08-21T17:56:47Z,0,Iranian-reported Israel coverage
spectator-index,Spectator Index,spectator;The Spectator Index;@spectatorindex,Official news channels,social,twitter.com,,,,aggregator,,wire,active,seed,2026-07-28,,,,Curated tweet stream (pull_spectator.py)
reuters,Reuters,Reuter;Thomson Reuters;Reuters News,Official news channels,web,reuters.com,,,,western-wire,GB,research,active,seed,2026-07-28,,,,
associated-press,Associated Press,AP;AP News;The Associated Press;apnews,Official news channels,rss,apnews.com,,https://news.google.com/rss/search?q=site:apnews.com+when:2d&hl=en-US&gl=US&ceid=US:en,,western-wire,US,wire,active,seed,2026-07-28,,2026-08-21T17:56:47Z,100,"Pulled via a Google News RSS query scoped to site:apnews.com. AP publishes no public RSS, GDELT indexes no apnews.com articles, and apnews.com blocks automated fetches - this proxy is the only route that returns AP items. Consequence: the item URL is a news.google.com redirect that does not resolve server-side, so AP rows carry no scraped lead image; the link still opens the right AP article in a browser."
agence-france-presse,Agence France-Presse,AFP;France Presse,Official news channels,web,afp.com,,,,french,FR,research,active,seed,2026-07-28,,,,
the-guardian,The Guardian,Guardian;Guardian UK,Official news channels,web,theguardian.com,,,,western-uk,GB,research,active,seed,2026-07-28,,,,
new-york-times,The New York Times,NYT;New York Times;NY Times,Official news channels,web,nytimes.com,,,,western-us,US,research,active,seed,2026-07-28,,,,
washington-post,The Washington Post,WaPo;Washington Post,Official news channels,web,washingtonpost.com,,,,western-us,US,research,active,seed,2026-07-28,,2026-08-21T17:58:59Z,1,
financial-times,Financial Times,FT;Financial Times London,Official news channels,web,ft.com,,,,western-uk,GB,research,active,seed,2026-07-28,,,,
bloomberg,Bloomberg,Bloomberg News,Official news channels,web,bloomberg.com,,,,western-us,US,research,active,seed,2026-07-28,,2026-08-21T17:58:59Z,2,
