"id","tweet_id","pub_date","original_text","category","subcategory","countries","entities_people","entities_orgs","entities_weapons","entities_locations","lat","lng","sentiment","severity","is_breaking","summary","context","implications","confirmation_status","source_count","sources_json","images","source","source_url","perspective","enriched_at","tier"
"10315","2051161852680495400","2026-05-04T04:50:01.000Z","Police say at least 10 people taken to hospital after shooting at campground in Edmond, Oklahoma.","social","mass_shooting","US","","Integris Health Edmond Hospital;Integris Health Baptist Medical Center","firearm","Arcadia Lake;Edmond;Oklahoma City;Oklahoma","35.67","-97.31","neutral","2","TRUE","Mass shooting at Arcadia Lake campground near Edmond, OK sends at least 12 to hospital.","A shooting erupted at a campground party near Arcadia Lake, approximately 13 miles north of Oklahoma City, on the evening of May 4. At least 12 people were transported to two Integris Health hospitals in various conditions. Initial police reports indicated 10 victims, with the count rising as some drove themselves to hospital.","Domestic law enforcement response underway; no known suspects in custody initially; no geopolitical significance.","confirmed","4","[{""name"": ""CNN"", ""title"": ""Edmond, Oklahoma shooting: At least 12 injured after gunfire at Arcadia Lake party"", ""url"": ""https://www.cnn.com/2026/05/04/us/edmond-oklahoma-shooting-arcadia-lake-party-hnk"", ""quote"": ""At least 12 people were taken to hospitals after gunfire rang out at a campground gathering near Arcadia Lake"", ""date"": ""2026-05-04""}, {""name"": ""NBC News"", ""title"": ""At least 12 hospitalized as gunfire rings out at Oklahoma campground party"", ""url"": ""https://www.nbcnews.com/news/us-news/edmond-oklahoma-campground-party-shooting-rcna343403"", ""quote"": ""at least 12 people were hospitalized after a shooting at a campground party near Arcadia Lake"", ""date"": ""2026-05-04""}, {""name"": ""Washington Post"", ""title"": ""Shooting at lake near Oklahoma City sends at least 12 people to hospitals"", ""url"": ""https://www.washingtonpost.com/national/2026/05/04/oklahoma-edmond-arcadia-lake-party-shooting/388f59da-4774-11f1-a119-857cd2bf4fd4_story.html"", ""quote"": ""Police say at least 12 people taken to hospital after shooting at campground near Oklahoma City"", ""date"": ""2026-05-04""}, {""name"": ""KSAT"", ""title"": ""Shooting at lake near Oklahoma City sends at least 12 people to hospitals"", ""url"": ""https://www.ksat.com/news/national/2026/05/04/shooting-at-lake-near-oklahoma-city-injures-at-least-10/"", ""quote"": ""Shooting at a campground near Arcadia Lake sends multiple people to hospitals"", ""date"": ""2026-05-04""}]","","","","","2026-05-04T10:05:00.000Z","deep"
"10316","2051224710319595800","2026-05-04T09:00:02.000Z","Iran says it is ready to 'respond to US threats' in the Strait of Hormuz and says that 'shipping companies well know that ensuring their security requires coordination' with Iranian authorities.","military","naval_threat","IR;US","","Iran Armed Forces;US Navy;Iran Parliament National Security Commission","naval vessels","Strait of Hormuz;Persian Gulf","26.5","56.3","escalatory","5","TRUE","Iran warns it will respond to US 'Project Freedom' naval operation in Strait of Hormuz.","Following the US-Israel Operation Epic Fury strikes on Iran (Feb 28 2026) and Iran's closure of the Strait of Hormuz (Mar 4), the US launched 'Project Freedom' on May 4 to guide stranded neutral ships through the waterway. Iran's parliament security commission warned any US interference would violate the April 8 ceasefire, and Iranian authorities demanded shipping companies coordinate with Iranian forces for safe passage. Hundreds of ships and ~20,000 seafarers remain trapped in the Gulf.","US-Iran standoff over Strait of Hormuz risks reigniting active conflict and threatens global oil shipments; any incident involving US warships could invalidate the ceasefire.","confirmed","4","[{""name"": ""NBC News"", ""title"": ""Iran threatens U.S. forces in Strait of Hormuz after Trump launches mission to guide ships"", ""url"": ""https://www.nbcnews.com/world/iran/iran-war-trump-mission-guide-ships-strait-hormuz-attack-energy-prices-rcna343406"", ""quote"": ""Iran warned the United States on Monday not to approach or enter the Strait of Hormuz as the American military launches a new effort to guide stranded ships"", ""date"": ""2026-05-04""}, {""name"": ""CNN"", ""title"": ""Live updates: Iran war - Iran warns American forces in Strait of Hormuz will be attacked"", ""url"": ""https://www.cnn.com/2026/05/04/world/live-news/iran-war-hormuz-trump"", ""quote"": ""Iran threatens US forces in Strait of Hormuz if they enter"", ""date"": ""2026-05-04""}, {""name"": ""Times of Israel"", ""title"": ""Iran threatens American ships if they enter Hormuz, as US kicks off Project Freedom"", ""url"": ""https://www.timesofisrael.com/iran-threatens-american-ships-if-they-enter-hormuz-as-us-kicks-off-project-freedom/"", ""quote"": ""Iran threatened American ships entering the Strait of Hormuz as the US launched Project Freedom"", ""date"": ""2026-05-04""}, {""name"": ""NPR"", ""title"": ""Trump says the U.S will guide stranded ships from the Strait of Hormuz"", ""url"": ""https://www.npr.org/2026/05/03/nx-s1-5809536/trump-strait-hormuz"", ""quote"": ""Trump announced the US will guide stranded ships from the Strait of Hormuz in a new operation"", ""date"": ""2026-05-03""}]","https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/STS004-37-716_-_Strait_of_Hormuz.jpg/1280px-STS004-37-716_-_Strait_of_Hormuz.jpg","","","","2026-05-04T10:05:00.000Z","deep"
"10318","2051225417550623200","2026-05-04T09:20:03.000Z","Turkey's annual inflation rate has risen to 32.37% in April, the highest rate in six months.","economic","inflation","TR","","Central Bank of Republic of Turkey;TurkStat;ENAG","","Turkey;Ankara","39.0","35.0","escalatory","3","FALSE","Turkey CPI hits 32.37% YoY in April 2026, six-month high driven by Iran war energy costs.","Turkey's annual inflation accelerated from 30.9% in March to 32.37% in April 2026, surpassing analyst forecasts. Monthly consumer prices rose 4.18%, driven primarily by housing, energy, and fuel. The Iran war has exacerbated supply-chain pressures and commodity prices for Turkey, a major energy importer. Independent economists (ENAG) dispute official TurkStat figures, estimating true inflation at 55.38% YoY.","Elevated and rising inflation limits Turkey's central bank room to cut interest rates; prolonged Iran war energy disruption is a key upside risk that could push inflation higher and complicate monetary policy.","confirmed","3","[{""name"": ""Bloomberg"", ""title"": ""Turkish Inflation Quickens More Than Expected to 32.4% in April"", ""url"": ""https://www.bloomberg.com/news/articles/2026-05-04/turkish-inflation-quickens-more-than-expected-to-32-4-in-april"", ""quote"": ""Turkish annual inflation rose more than expected in April as price pressures from the Iran war continued to ripple through the economy"", ""date"": ""2026-05-04""}, {""name"": ""Channels Television"", ""title"": ""Turkey Inflation Up At 32.37% In April"", ""url"": ""https://www.channelstv.com/2026/05/04/turkey-inflation-up-at-32-37-in-april/"", ""quote"": ""Turkey's annual inflation rate rose to 32.37 per cent in April, up from 30.9 per cent in March"", ""date"": ""2026-05-04""}, {""name"": ""Bloomberg"", ""title"": ""Turkey Holds Rates Steady as Iran War Raises Inflation Risks"", ""url"": ""https://www.bloomberg.com/news/articles/2026-04-22/turkey-holds-interest-rates-as-iran-war-clouds-inflation-outlook"", ""quote"": ""CBRT holds rates at 37%, marking upside inflation risks tied to Iran war energy disruption"", ""date"": ""2026-04-22""}]","","","","","2026-05-04T10:05:00.000Z","deep"
"10317","2051227920065261800","2026-05-04T09:20:03.000Z","The family behind Samsung has completed its payment of an $8 billion inheritance tax bill, the biggest in South Korea's history, after the death of its late chairman Lee Kun-hee, who died in 2020. https://t.co/fgl5Uo5wyT","economic","inheritance_tax","KR","Lee Kun-hee;Lee Jae-yong;Hong Ra-hee;Lee Boo-jin;Lee Seo-hyun","Samsung Group;Samsung Electronics","","South Korea;Seoul","37.5","127.0","neutral","2","FALSE","Samsung family completes 5-year $8B inheritance tax payment, South Korea's largest ever.","The Lee family, heirs of Samsung Group chairman Lee Kun-hee (died Oct 2020), finalized a 12 trillion won ($8 billion) inheritance tax settlement after five years of deferred payments in six installments. The sum equals roughly 1.5x South Korea's total inheritance tax revenue for 2024. Family members used dividends (~4 trillion won received since 2020) and selective share sales to fund payments.","Completion of the inheritance tax obligation stabilizes Samsung's ownership structure with no major forced share disposals; the Lee family's grip on Samsung Group is maintained as AI-driven semiconductor gains boosted asset values.","confirmed","4","[{""name"": ""Korea Herald"", ""title"": ""Samsung family pays record W12tr tax, tightens grip on group"", ""url"": ""https://www.koreaherald.com/article/10730329"", ""quote"": ""The Samsung family completed payment of 12 trillion won in inheritance taxes, the largest inheritance tax settlement in South Korea's history"", ""date"": ""2026-05-04""}, {""name"": ""Korea Times"", ""title"": ""Samsung owner family to finish paying $7.95 bil. inheritance tax"", ""url"": ""https://www.koreatimes.co.kr/business/companies/20260405/samsung-owner-family-to-finish-paying-795-bil-inheritance-tax"", ""quote"": ""Samsung owner family to complete payment of record inheritance tax this month"", ""date"": ""2026-04-05""}, {""name"": ""Yahoo Finance"", ""title"": ""Samsung family pays off record $8bn inheritance tax bill"", ""url"": ""https://finance.yahoo.com/markets/stocks/articles/samsung-family-pays-off-record-042427900.html"", ""quote"": ""Samsung family pays off record $8bn inheritance tax bill"", ""date"": ""2026-05-04""}, {""name"": ""KED Global"", ""title"": ""Samsung heirs sell $1.3 bn stake in Samsung Electronics for inheritance taxes"", ""url"": ""https://www.kedglobal.com/samsung-group/newsView/ked202510310009"", ""quote"": ""Samsung heirs sold stake in Samsung Electronics to fund the inheritance tax"", ""date"": ""2025-10-31""}]","https://t.co/fgl5Uo5wyT","","","","2026-05-04T10:05:00.000Z","deep"
"10314","2051136750131749400","2026-05-04T03:10:04.000Z","Mass shooting at campground in Edmond, Oklahoma, with reports at least 15 people are wounded.","social","mass_shooting","US","","Edmond Police Department","firearm","Edmond;Oklahoma;Arcadia Lake","35.67","-97.31","neutral","2","TRUE","Mass shooting at Arcadia Lake campground near Edmond, OK; at least 15 reported wounded.","Initial reports of a shooting at a campground party near Arcadia Lake, approximately 13 miles north of Oklahoma City, on the evening of May 3-4. Early figures indicated 15+ wounded before final count settled at 12 hospitalised. No suspect details released in initial reports.","Domestic law enforcement matter; no geopolitical significance.","partially_confirmed","1","[{""name"": ""The Spectator Index"", ""title"": ""Breaking tweet \u2013 Mass shooting at campground in Edmond, Oklahoma"", ""url"": """", ""quote"": ""Mass shooting at campground in Edmond, Oklahoma, with reports at least 15 people are wounded."", ""date"": ""2026-05-04""}]","","","","","2026-05-05T13:00:00.000Z","deep"
"10319","2051246183486775800","2026-05-04T10:40:02.000Z","Iranian media claims two missiles were fired at a US Navy vessel that was trying to pass through the Strait of Hormuz.","military","naval_attack","IR;US","","Iran Navy;US Navy;CENTCOM","cruise missile;combat drone","Strait of Hormuz;Persian Gulf","26.5","56.3","escalatory","5","TRUE","Iran fires missiles and drones at US Navy warships entering Strait of Hormuz during Project Freedom op.","Iran's Navy fired cruise missiles, combat drones, and rockets near US warships that had ignored warnings not to enter the Strait. The US launched Project Freedom on May 4 to escort stranded neutral ships through the Iranian-blockaded strait. Iranian media initially claimed two missiles struck a US vessel, which the US later denied, calling it disinformation.","Exchange of fire between US and Iranian forces puts the April 8 ceasefire under severe stress; any confirmed hit on a US warship would likely trigger a full resumption of hostilities.","partially_confirmed","5","[{""name"": ""CNN"", ""title"": ""US and Iranian militaries trade shots as Strait of Hormuz tensions escalate"", ""url"": ""https://www.cnn.com/2026/05/04/world/live-news/iran-war-hormuz-trump"", ""quote"": ""Iran launched multiple cruise missiles, drones and small boats at US Navy ships and commercial vessels"", ""date"": ""2026-05-04""}, {""name"": ""NBC News"", ""title"": ""U.S. launches mission to guide ships through the Strait of Hormuz; Iran threatens attacks"", ""url"": ""https://www.nbcnews.com/world/iran/iran-war-trump-mission-guide-ships-strait-hormuz-attack-energy-prices-rcna343406"", ""quote"": ""Iran warned the United States on Monday not to approach or enter the Strait of Hormuz"", ""date"": ""2026-05-04""}, {""name"": ""Al Jazeera"", ""title"": ""Iran says it fired missiles at US warship to prevent it entering Hormuz"", ""url"": ""https://www.aljazeera.com/video/newsfeed/2026/5/4/iran-says-it-fired-missiles-at-us-warship-to-prevent-it-entering-hormuz"", ""quote"": ""Iran says it fired missiles at US warship to prevent it entering Hormuz"", ""date"": ""2026-05-04""}, {""name"": ""Times of Israel"", ""title"": ""Iran fired 2 missiles at US Navy vessel after it attempted to pass through Strait of Hormuz"", ""url"": ""https://www.timesofisrael.com/liveblog_entry/iran-fired-2-missiles-at-us-navy-vessel-after-it-attempted-to-pass-through-strait-of-hormuz-iranian-media/"", ""quote"": ""Iran fired 2 missiles at US Navy vessel after it attempted to pass through Strait of Hormuz \u2013 Iranian media"", ""date"": ""2026-05-04""}, {""name"": ""Washington Post"", ""title"": ""Attacks in Strait of Hormuz, Gulf region imperil U.S.\u2013Iran ceasefire"", ""url"": ""https://www.washingtonpost.com/world/2026/05/04/us-ships-iran-hormuz-ceasefire/"", ""quote"": ""Attacks in Strait of Hormuz, Gulf region imperil U.S.-Iran ceasefire"", ""date"": ""2026-05-04""}]","https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/STS004-37-716_-_Strait_of_Hormuz.jpg/1280px-STS004-37-716_-_Strait_of_Hormuz.jpg","","","","2026-05-05T13:00:00.000Z","deep"
"10320","2051252847648665600","2026-05-04T10:50:02.000Z","US official denies Iranian claims that a warship was struck by Iranian missiles, according to Axios report.","military","information_operations","US;IR","","US Navy;CENTCOM;Axios","cruise missile","Strait of Hormuz","26.5","56.3","mixed","4","TRUE","US officially denies Iranian claim that a warship was hit by missiles in the Strait of Hormuz.","Minutes after Iranian state media claimed two missiles struck a US Navy vessel, the Pentagon denied the report via Axios. The US stated all Iranian projectiles were intercepted and that US helicopters sank six Iranian fast attack boats. The conflicting narratives reflect an ongoing information battle alongside the physical confrontation at the Strait.","US denial reduces immediate escalation pressure; however, Iran's willingness to fire on US warships signals readiness to cross ceasefire red lines if Project Freedom continues.","confirmed","3","[{""name"": ""CNN"", ""title"": ""US and Iranian militaries trade shots as Strait of Hormuz tensions escalate"", ""url"": ""https://www.cnn.com/2026/05/04/world/live-news/iran-war-hormuz-trump"", ""quote"": ""US says all Iranian missiles were intercepted; US helicopters sank six Iranian boats"", ""date"": ""2026-05-04""}, {""name"": ""FDD"", ""title"": ""Iran claims strike on US warship as US attempts to reopen Strait of Hormuz"", ""url"": ""https://www.fdd.org/analysis/2026/05/04/iran-claims-strike-on-us-warship-as-us-attempts-to-reopen-strait-of-hormuz/"", ""quote"": ""Iran claimed two missiles struck a US Navy destroyer; US strongly denied"", ""date"": ""2026-05-04""}, {""name"": ""ABC News"", ""title"": ""Iran live updates: Attacks on US below threshold of resuming fighting, Caine says"", ""url"": ""https://abcnews.com/International/live-updates/iran-live-updates-ukmto-reports-attacks-2-ships/?id=132626582"", ""quote"": ""Attacks on US below threshold of resuming fighting, Caine says"", ""date"": ""2026-05-04""}]","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/USS_Arleigh_Burke_%28DDG_51%29_140417-N-WD757-225_%2813897844856%29.jpg/1280px-USS_Arleigh_Burke_%28DDG_51%29_140417-N-WD757-225_%2813897844856%29.jpg","","","","2026-05-05T13:00:00.000Z","deep"
"10321","2051263425955905800","2026-05-04T11:40:04.000Z","Oil tanker has been struck by two Iranian drones off the coast of Oman.","military","drone_strike","IR;AE;OM","","ADNOC Logistics and Services;Iran Navy","drone;UAV","Strait of Hormuz;Oman;UAE","24.5","57.5","escalatory","4","TRUE","Iranian drones strike UAE ADNOC tanker Barakah off Oman; no crew injured, ship had no cargo.","The UAE state oil company ADNOC's tanker Barakah was struck by two Iranian drones while passing near the Omani coast in the Strait of Hormuz area. ADNOC Logistics confirmed no cargo was aboard and no crew injuries. The UAE condemned the attack as a ""terrorist attack"" and a violation of international maritime law. A South Korean vessel was also reportedly damaged nearby.","Targeting of UAE energy assets escalates Iranian pressure on Gulf states; Iran signals it will strike GCC infrastructure to deter participation in or support for Project Freedom.","confirmed","4","[{""name"": ""Al Arabiya"", ""title"": ""UAE condemns Iranian drone attack on ADNOC oil tanker in Strait of Hormuz"", ""url"": ""https://english.alarabiya.net/News/gulf/2026/05/04/uae-says-iran-fired-drones-at-adnoc-oil-tanker-in-hormuz"", ""quote"": ""UAE condemns Iranian drone attack on ADNOC oil tanker in Strait of Hormuz"", ""date"": ""2026-05-04""}, {""name"": ""Khaleej Times"", ""title"": ""UAE says Iran fired drones at Adnoc oil tanker in Strait of Hormuz, no injuries"", ""url"": ""https://www.khaleejtimes.com/uae/uae-iran-fired-drones-adnoc-oil-tanker-strait-of-hormuz"", ""quote"": ""UAE says Iran fired drones at Adnoc oil tanker in Strait of Hormuz, no injuries"", ""date"": ""2026-05-04""}, {""name"": ""BNO News"", ""title"": ""UAE tanker hit by drones, South Korean ship damaged near Strait of Hormuz"", ""url"": ""https://bnonews.com/index.php/2026/05/uae-tanker-hit-by-drones-south-korean-ship-damaged-near-strait-of-hormuz/"", ""quote"": ""UAE tanker hit by drones, South Korean ship damaged near Strait of Hormuz"", ""date"": ""2026-05-04""}, {""name"": ""Washington Times"", ""title"": ""UAE emirate says Iranian drone sparked fire at oil facility"", ""url"": ""https://www.washingtontimes.com/news/2026/may/4/united-arab-emirates-emirate-says-iranian-drone-sparked-fire-oil/"", ""quote"": ""Iranian drone sparked fire at UAE oil facility"", ""date"": ""2026-05-04""}]","https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Tankers_in_Scapa_Flow_-_Mainland_Orkney_-_kingsley_-_29-JUN-09.JPG/1280px-Tankers_in_Scapa_Flow_-_Mainland_Orkney_-_kingsley_-_29-JUN-09.JPG","","","","2026-05-05T13:00:00.000Z","deep"
"10322","2051276367627719200","2026-05-04T12:30:02.000Z","US military says that two US-flagged merchant vessels have 'successfully transited through the Strait of Hormuz'.","military","convoy_operation","US;IR","","US Navy;CENTCOM;US Military Sealift Command","","Strait of Hormuz;Persian Gulf","26.5","56.3","de-escalatory","3","FALSE","Two US-flagged merchant ships complete first successful Hormuz transit under Project Freedom escort.","The US military announced the first concrete success of Project Freedom: two US-flagged merchant vessels safely passed through the Strait of Hormuz under US Navy protection despite Iranian warnings and ongoing skirmishes. This came hours after Iran fired missiles and drones at US warships. The transit validated the US operational concept but the broader corridor remains contested.","Demonstrates US ability to force transit despite Iranian opposition; pressure now on Iran to escalate or accept reduced control of the strait.","confirmed","3","[{""name"": ""NBC News"", ""title"": ""U.S. launches mission to guide ships through the Strait of Hormuz"", ""url"": ""https://www.nbcnews.com/world/iran/iran-war-trump-mission-guide-ships-strait-hormuz-attack-energy-prices-rcna343406"", ""quote"": ""Iran warned the United States on Monday not to approach or enter the Strait of Hormuz"", ""date"": ""2026-05-04""}, {""name"": ""CNBC"", ""title"": ""Iran attacks UAE; U.S. says it sank boats in Strait of Hormuz"", ""url"": ""https://www.cnbc.com/2026/05/04/iran-war-uae-trump-ceasefire-missiles.html"", ""quote"": ""US sank Iranian fast attack boats while guiding merchant vessels"", ""date"": ""2026-05-04""}, {""name"": ""NPR"", ""title"": ""U.S. tries to open Hormuz Strait as UAE says Iran attacked it"", ""url"": ""https://www.npr.org/2026/05/04/nx-s1-5810508/iran-war-updates"", ""quote"": ""US tries to force open the Strait of Hormuz as the UAE comes under attack"", ""date"": ""2026-05-04""}]","https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/STS004-37-716_-_Strait_of_Hormuz.jpg/1280px-STS004-37-716_-_Strait_of_Hormuz.jpg","","","","2026-05-05T13:00:00.000Z","deep"
"10323","2051403236578627800","2026-05-04T20:50:02.000Z","UAE says it shot down 15 missiles and 4 drones fired from Iran today.","military","missile_defense","IR;AE","","UAE Ministry of Defence;UAE Air Defence;Iran Armed Forces","ballistic missile;cruise missile;drone;Patriot SAM","United Arab Emirates;Abu Dhabi;UAE","24.0","54.0","escalatory","5","TRUE","UAE intercepts 12 ballistic missiles, 3 cruise missiles and 4 Iranian drones; 3 moderately injured.","Iran launched its first large-scale missile attack on the UAE since the April 8 ceasefire, firing 12 ballistic missiles, 3 cruise missiles, and 4 drones. UAE air defences intercepted all or nearly all of the incoming projectiles. Three people were moderately injured. A fire broke out at an ADNOC oil refinery near Fujairah. Schools and universities in the UAE were ordered to shift online.","Iran has openly violated the ceasefire by attacking a GCC ally; Saudi Arabia condemned the attacks and US/Israel are now discussing retaliatory strikes on Iranian missile and energy infrastructure.","confirmed","4","[{""name"": ""Gulf News"", ""title"": ""UAE intercepts 12 ballistic missiles, three cruise missiles and four drones from Iran"", ""url"": ""https://gulfnews.com/world/mena/uae-intercepts-12-ballistic-missiles-three-cruise-missiles-and-four-drones-from-iran-schools-universities-go-online-1.500527915"", ""quote"": ""UAE intercepted 12 ballistic missiles, three cruise missiles and four drones from Iran; schools and universities go online"", ""date"": ""2026-05-04""}, {""name"": ""Al Jazeera"", ""title"": ""UAE accuses Iran of attacks as large fire breaks out at oil refinery"", ""url"": ""https://www.aljazeera.com/news/2026/5/4/uae-reports-missile-and-drone-strikes-incoming-from-iran"", ""quote"": ""UAE reports missile and drone strikes from Iran; large fire at oil refinery"", ""date"": ""2026-05-04""}, {""name"": ""CNBC"", ""title"": ""Iran attacks UAE; U.S. says it sank boats in Strait of Hormuz"", ""url"": ""https://www.cnbc.com/2026/05/04/iran-war-uae-trump-ceasefire-missiles.html"", ""quote"": ""Iran attacks UAE; U.S. says it sank boats in Strait of Hormuz"", ""date"": ""2026-05-04""}, {""name"": ""Townhall"", ""title"": ""Iran Launches Drones and Missiles at UAE As Fire Breaks Out at Major UAE Oil Refinery"", ""url"": ""https://townhall.com/tipsheet/dmitri-bolt/2026/05/04/the-uae-has-accused-iran-of-terrorist-attacks-as-two-drones-launched-at-uae-tanker-n2675498"", ""quote"": ""Fire breaks out at major UAE oil refinery after Iranian drone and missile attack"", ""date"": ""2026-05-04""}]","https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Shahed_136_rendering.png/1280px-Shahed_136_rendering.png","","","","2026-05-05T13:00:00.000Z","deep"
