incident_id,label,url,caption,source
"mh-fordow","B-2 Spirit Stealth Bomber","https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/B-2_Spirit_original.jpg/1280px-B-2_Spirit_original.jpg","B-2 Spirit dropping ordnance. Seven flew round-trip from Diego Garcia (~13,000 km) requiring 52 tankers.","USAF / Wikimedia Commons (public domain)"
"mh-fordow","GBU-57 Massive Ordnance Penetrator","https://upload.wikimedia.org/wikipedia/commons/b/bb/USAF_MOP_test_release_crop.jpg","GBU-57A/B MOP — 30,000 lb, Eglin steel alloy casing. Fordow required 12 (vs 2 at Natanz).","USAF / Wikimedia Commons (public domain)"
"mh-natanz","Natanz — Satellite Pre-Strike","https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Atomanlage_Natanz_%282022%29.jpg/1280px-Atomanlage_Natanz_%282022%29.jpg","Pre-strike satellite imagery of Iranian nuclear enrichment infrastructure. Natanz houses centrifuge halls ~8m underground with reinforced concrete.","DigitalGlobe / IAEA (pre-strike OSINT)"
"tdw-campaign","F-35I Adir — Primary Strike Platform","https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/F-35I-Adir-0296.jpg/1280px-F-35I-Adir-0296.jpg","F-35I Adir — Israeli customized variant with indigenous avionics. Low-observable design penetrated Iran's S-300 network.","Israeli Air Force / Wikimedia Commons (public domain)"
"tdw-campaign","S-300 Battery — Neutralized","https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/S-300_Triumf_-_MAKS-2009_%28uncropped%29.jpg/1200px-S-300_Triumf_-_MAKS-2009_%28uncropped%29.jpg","S-300PMU2 batteries could not track the F-35I at combat altitude — rendered effectively blind by stealth.","Wikimedia Commons (public domain)"
"ocean-trader","ESA Sentinel-2 — Commercial Satellite (Detection Method)","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Sentinel-2_image_on_2019-05-08_showing_Heraklion%2C_Crete%2C_Greece.jpg/1200px-Sentinel-2_image_on_2019-05-08_showing_Heraklion%2C_Crete%2C_Greece.jpg","Sentinel-2 multispectral imagery (10m resolution). OSINT analysts cross-referenced AIS gaps with satellite data to confirm the vessel's classified mission profile days before the operation launched.","ESA Copernicus / @MT_Anderson OSINT"
"ocean-trader","USS Lake Erie (CG-70) — Ticonderoga-class Cruiser Escort","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/USS_Lake_Erie_%28CG-70%29_underway.jpg/1200px-USS_Lake_Erie_%28CG-70%29_underway.jpg","USS Lake Erie (CG-70) assigned as protective escort for MV Ocean Trader.","US Navy / Wikimedia Commons (public domain)"
"ocean-trader","MH-60 SOF Helicopter Insertion","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/MH-60_Black_Hawk.jpg/1280px-MH-60_Black_Hawk.jpg","MH-60 Black Hawk variant used for SOF insertion from the Ocean Trader to the Caracas target.","US Army / Wikimedia Commons (public domain)"
"abs-resolve","SOF Helicopter Raid — Caracas Insertion","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/MH-60_Black_Hawk.jpg/1280px-MH-60_Black_Hawk.jpg","SOF forces inserted by helicopter from the MV Ocean Trader staging platform. Zero US casualties.","US Army / Wikimedia Commons (public domain)"
"ef-main","Tomahawk VLS Launch — Arleigh Burke DDG","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Tomahawk_Block_IV_launch.jpg/1280px-Tomahawk_Block_IV_launch.jpg","Tomahawk Block IV launch from Vertical Launch System. 13 Arleigh Burke DDGs contributed to the 900+ strike opening salvo.","US Navy / Wikimedia Commons (public domain)"
"ef-prsm","HIMARS — PrSM Launch Platform","https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/HIMARS_launch.jpg/1280px-HIMARS_launch.jpg","US Army HIMARS firing from Kuwait. PrSM made its combat debut from these platforms, demonstrating 499+ km range.","US Army / Wikimedia Commons (public domain)"
"rl-khamenei","JDAM Bunker Strike Munition","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/U.S._Air_Force_Senior_Airman_Ryan_Minner%2C_a_load_crew_member_with_the_509th_Maintenance_Squadron%2C_poses_for_a_photo_under_a_GBU-31_joint_direct_attack_munition_and_a_Mark_84_munition_in_a_B-2_Spirit_aircraft_140221-F-RH756-320.jpg/1280px-thumbnail.jpg","GBU-31 Joint Direct Attack Munition loaded in a B-2 Spirit — precision guidance kit for bunker targeting. CIA penetration enabled location of Khamenei's underground bunker.","USAF / Wikimedia Commons (public domain)"
"ir-gcc","Shahed-136 Kamikaze Drone","https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Shahed_136_rendering.png/1280px-Shahed_136_rendering.png","Shahed-136 loitering munition — one of 541 drones in the 708-munition barrage. ~$20,000 each vs. $4M for a Patriot PAC-3 interceptor.","Wikimedia Commons (public domain)"
"ir-gcc","Patriot PAC-3 Intercept","https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/74th_Patriot_Regiment_missile_launch.jpg/1280px-74th_Patriot_Regiment_missile_launch.jpg","Patriot PAC-3 missile intercept. The layered GCC + US defense architecture intercepted all 708 munitions.","US Army / Wikimedia Commons (public domain)"
"scs-carrier","PLAN Shandong (CV-17) — Type 001A Carrier","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Chinese_carrier_Liaoning_CV-16_-_Transferred_to_People%27s_Liberation_Army_Navy.jpg/1280px-Chinese_carrier_Liaoning_CV-16_-_Transferred_to_People%27s_Liberation_Army_Navy.jpg","PLA Navy carrier in South China Sea operations.","Wikimedia Commons (public domain)"
"scs-carrier","Fiery Cross Reef — PLAN Artificial Island Base","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Fiery_Cross_Reef_CSIS_2015.jpg/1280px-Fiery_Cross_Reef_CSIS_2015.jpg","Fiery Cross Reef artificial island — 3,000m runway, hardened aircraft shelters, SAM/CDCM batteries.","CSIS AMTI / Planet Labs satellite imagery"
"scs-scarborough","China Coast Guard (CCG) Vessel","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/China_coast_guard_vessel.jpg/1280px-China_coast_guard_vessel.jpg","China Coast Guard vessel — primary gray-zone coercion tool.","Wikimedia Commons (public domain)"
"scs-second-thomas","BRP Sierra Madre — Philippine Military Outpost","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/BRP_Sierra_Madre_%28AT-43%29.jpg/1280px-BRP_Sierra_Madre_%28AT-43%29.jpg","BRP Sierra Madre (AT-43) — a deliberately grounded WWII-era LST serving as the Philippines' military outpost on Second Thomas Shoal.","Philippine Navy / Wikimedia Commons (public domain)"
"scs-fonops","USS Arleigh Burke DDG — FONOP Platform","https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/USS_Arleigh_Burke_%28DDG-51%29.jpg/1200px-USS_Arleigh_Burke_%28DDG-51%29.jpg","Arleigh Burke-class guided-missile destroyer — the primary US Navy platform for SCS FONOP operations.","US Navy / Wikimedia Commons (public domain)"
