operation_name,color,countries,period,dashed
"Op. Swords of Iron","#ab47bc","IL;PS","Oct 2023–present","false"
"Op. Northern Arrows","#ab47bc","IL;IR;LB","Apr–Oct 2024","false"
"Russia-Ukraine War","#e53935","UA;RU","2022–present","false"
"Op. Midnight Hammer","#29b6f6","US","Jun 2025","false"
"12-Day War (IDF)","#ce93d8","IL;US","Jun 2025","false"
"Op. Absolute Resolve","#66bb6a","US","Dec 2025–Jan 2026","false"
"Op. Southern Spear","#4db6ac","US","Jan 2026","false"
"Op. Epic Fury","#ffa726","US;IL","Feb 28, 2026","false"
"Op. Roaring Lion","#ffd54f","US;IL","Feb 28, 2026","false"
"Task Force Scorpion Strike","#ff9800","US","Dec 2025–Feb 2026","false"
"Iran Retaliation","#ef5350","IR;YE","Feb–Mar 2026","true"
"Houthi / Proxies","#f06292","YE;IR","2025–2026","true"
"China SCS Operations","#ff5252","CN;PH","2025–2026","true"
