incident_id,operation_name,operation_color,incident_title,date,date_sort_value,strike_type,confirmed,origin_lat,origin_lng,origin_label,origin_sublabel,target_lat,target_lng,target_label,target_sublabel,summary,assessment,platform_or_unit,munitions_weapons,munitions_quantity,range_km,target_type,target_depth_hardening,military_kia_friendly,military_kia_enemy,civilian_kia,military_wia_friendly,personnel_deployed,aircraft_deployed,naval_vessels,result_outcome,nuclear_setback_assessment,economic_impact,intercepted_munitions,key_intelligence_notes,osint_sources,press_sources,think_tank_sources,tags,badge_colors,is_retaliation,is_covert,is_first_use,disputed,source_type
tw-20230623082001-russia-russia,Russia-Ukraine War,#b71c1c,Russian Wagner group says its troops were attacked by Russia's military,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,Russian Wagner group says its troops were attacked by Russia's military,,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623082001-russia-russia-1,Russia-Ukraine War,#b71c1c,Russia's Wagner Group chief says a 'huge' number of his forces were killed in…,"Jun 23, 2023",-60,strike,TRUE,50.45,30.52,Ukraine (UAF),Ukrainian Armed Forces,61.52,105.32,Russia,,"Russia's Wagner Group chief says a 'huge' number of his forces were killed in attack by Russian military, vows revenge.",,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red;amber,TRUE,FALSE,FALSE,FALSE,enriched
tw-20230623082001-russia-russia-2,Russia-Ukraine War,#b71c1c,Russia's Wagner Group chief vows to eliminate the 'evil brought on by the…,"Jun 23, 2023",-60,naval,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,Russia's Wagner Group chief vows to eliminate the 'evil brought on by the military leadership' of Russia,,Naval Vessel,,,,Naval vessel,,0,0,0,0,,,,,,,,,,,,NAVAL;RU;RUSSIA;RUSSIA-UKRAINE-WAR,op;teal,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623083501-russia-russia,Russia-Ukraine War,#b71c1c,Wagner Group chief publishes video in which he claims to show the aftermath of a…,"Jun 23, 2023",-60,artillery,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,Wagner Group chief publishes video in which he claims to show the aftermath of a Russian military rocket attack on a Wagner camp.,,,,,,Military target,,0,0,0,0,,,,,,,,,,,,ARTILLERY;RU;RUSSIA;RUSSIA-UKRAINE-WAR,op;brown,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623085501-moscow-russia,Russia-Ukraine War,#b71c1c,Kremlin says Putin is aware of situation with Wagner Group and all 'necessary…,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,55.75,37.62,Moscow,,Kremlin says Putin is aware of situation with Wagner Group and all 'necessary measures are being taken',,,,,,Military target,,0,0,0,0,,,,,,,,,,,,MOSCOW;RU;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623093001-moscow-russia,Russia-Ukraine War,#b71c1c,WAGNER GROUP - Long-standing tensions between the mercenary group and Russia's…,"Jun 23, 2023",-60,naval,TRUE,50.45,30.52,Ukraine (UAF),Ukrainian Armed Forces,55.75,37.62,Moscow,,WAGNER GROUP - Long-standing tensions between the mercenary group and Russia's national military - Russia's Wagner group chief Yevgeny Prigozhin released video earlier today saying Russia's military l,,Naval Vessel,,,,Military target,,0,0,0,0,,,,,,,,,,,,MOSCOW;NAVAL;RU;RUSSIA;RUSSIA-UKRAINE-WAR,op;teal;amber,TRUE,FALSE,FALSE,FALSE,enriched
tw-20230623103501-russia-russia,Russia-Ukraine War,#b71c1c,Russia's FSB intelligence agency calls on Wagner Group fighters to arrest chief…,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,Russia's FSB intelligence agency calls on Wagner Group fighters to arrest chief Prigozhin,,,,,,Air defense / TEL,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623105501-russia-russia,Russia-Ukraine War,#b71c1c,Senior Russian general Sergey Surovikin calls on Wagner Group fighters to obey…,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,61.52,105.32,Russia,,Senior Russian general Sergey Surovikin calls on Wagner Group fighters to obey the orders of Putin and return to bases before it is 'too late',,,,,,Military target,,0,0,0,0,,,,,,,,,,,,RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623105501-moscow-russia,Russia-Ukraine War,#b71c1c,Increased military vehicle presence in parts of Moscow amid tensions with Wagner…,"Jun 23, 2023",-60,strike,TRUE,55.75,37.62,Russia (MoD),Russian Armed Forces,55.75,37.62,Moscow,,Increased military vehicle presence in parts of Moscow amid tensions with Wagner Group,,,,,,Military target,,0,0,0,0,,,,,,,,,,,,MOSCOW;RU;RUSSIA-UKRAINE-WAR;STRIKE,op;red,FALSE,FALSE,FALSE,FALSE,enriched
tw-20230623111001-moscow-unk,Independent Actions,#546e7a,Russia's state media has confirmed that security forces are on high alert and…,"Jun 23, 2023",-60,strike,TRUE,,,,,55.75,37.62,Moscow,,Russia's state media has confirmed that security forces are on high alert and have deployed to protect all important sites in Moscow,,,,,,Naval facility,,0,0,0,0,,,,,,,,,,,,MOSCOW;RU;RUSSIA;STRIKE,red,FALSE,FALSE,FALSE,FALSE,enriched
