"created_at","full_text","categories","countries","operations","is_breaking"
"2026-03-21 14:30:01","BREAKING: Israeli broadcasting authority says that Iranian attack on Arad has resulted in the highest number of casualties since the war began","military_operations;casualties_humanitarian","IL;IR","","TRUE"
"2026-03-21 13:50:04","BREAKING: Mass casualty incident declared in Arad in Southern Israel after Iranian ballistic missile attack, with reports that dozens of people have been wounded.","military_operations;casualties_humanitarian","IL;IR","Iran Retaliation","TRUE"
"2026-03-21 13:20:02","BREAKING: Reports of casualties in southern Israel following Iranian ballistic missile attack","military_operations;casualties_humanitarian","IL;IR","Iran Retaliation","TRUE"
"2026-03-20 00:50:02","BREAKING: Iran announces that the spokesman for the Revolutionary Guards has been killed","casualties_humanitarian","IR","","TRUE"
"2026-03-18 14:40:08","BREAKING: Four Palestinian women killed in Iranian missile attack","military_operations;casualties_humanitarian","IR;PS","Iran Retaliation","TRUE"
"2026-03-18 03:30:03","BREAKING: Israeli military has killed Iran’s Intelligence Minister Esmail Khatib","military_operations;casualties_humanitarian","IL;IR","","TRUE"
"2026-03-17 02:50:02","BREAKING: Iranian security chief Ali Larijani has been killed, according to Israel's defense minister.","casualties_humanitarian","IL;IR","","TRUE"
"2026-03-17 02:10:02","BREAKING: Israeli military says it has killed the commander of Iran's Basij, Gholamreza Soleimani.","military_operations;casualties_humanitarian","IL;IR","","TRUE"
"2026-03-16 11:20:01","BREAKING: Spokesman and security chief of Hezbollah in Iraq has been killed in a US airstrike","military_operations;casualties_humanitarian","IQ;LB","","TRUE"
"2026-03-12 18:20:02","BREAKING: French soldier killed in drone attack against base in Iraq's Kurdistan region","military_operations;casualties_humanitarian","IQ","","TRUE"
"2026-03-12 14:30:02","BREAKING: Reports that French soldiers have been wounded in drone attack in Iraq's Kurdistan region","military_operations;casualties_humanitarian","IQ","","TRUE"
"2026-03-09 16:30:02","Israeli military says that over 1,900 Iranian military personnel have been killed in the war so far.","military_operations;casualties_humanitarian","IL;IR","","FALSE"
"2026-03-09 15:00:03","BREAKING: Israel's finance minister Smotrich says his son has been wounded in attack near border with Lebanon","casualties_humanitarian","IL;LB","","TRUE"
"2026-03-09 12:20:01","Lebanon's government says that 450,000 people are now displaced due to the war between Israel and Hezbollah.","military_operations;casualties_humanitarian","IL;LB","","FALSE"
"2026-03-09 03:00:02","One person has been killed in central Israel due to missile attack, raising its death toll since the war started to 11.","military_operations;casualties_humanitarian","IL","","FALSE"
"2026-03-08 12:40:02","BREAKING: US war death toll rises to 7 after service member died of injuries from Iranian attack on Saudi Arabia","military_operations;casualties_humanitarian","IR;SA","","TRUE"
"2026-03-08 04:20:02","BREAKING: Lebanon's health ministry says war death toll has risen to 394","casualties_humanitarian","LB","","TRUE"
"2026-03-07 16:30:02","BREAKING: 3 killed in targeted drone attack on Ramada hotel room in central Beirut","military_operations;casualties_humanitarian","LB","","TRUE"
"2026-03-07 10:20:02","BREKAING: Israeli media reports that assessments are that Mojtaba Khamenei is wounded, but still alive, after recent strike.","casualties_humanitarian","IL","","FALSE"
"2026-03-03 01:10:03","BREAKING: Iran says death toll from current conflict has risen to 787","casualties_humanitarian","IR","","TRUE"
"2026-03-02 13:10:02","BREAKING: US military death toll in Iran conflict rises to 6","military_operations;casualties_humanitarian","IR;US","","TRUE"
"2026-03-02 11:10:02","BREAKING: Lebanese health ministry says death toll from Israeli strikes has risen to 52","military_operations;casualties_humanitarian","IL;LB","","TRUE"
"2026-03-01 10:40:03","BREAKING: UAE says Iran's actions exposed civilians to danger with its attacks","casualties_humanitarian","IR","","TRUE"
"2026-02-28 13:50:03","MIDDLE EAST - Iran's Supreme Leader has been killed - Strikes decapitated much of Iran's political, military and security leadership - Israel and US call on Iranians to change government - Iranian missile and drone strikes continue to target Gulf states and Israel - Severe disruption to air and maritime traffic in the region - No losses of US personnel","military_operations;casualties_humanitarian","IL;IR","Op. Epic Fury;Iran Retaliation","FALSE"
"2026-02-28 12:30:01","BREAKING: Israeli military says it killed several top Iranian security officials including defense minister, most senior adviser to the president, the intelligence chief and head of military bureau.","military_operations;casualties_humanitarian","IL;IR","","TRUE"
"2026-02-28 11:20:02","MIDDLE EAST - Netanyahu says many signs that Iran's Supreme Leader has been eliminated - Iran says he is safe and in command - US says it has suffered no casualties so far - Ongoing Iranian missile and drone attacks against Israel and targets in Arab states in the Gulf - Widespread condemnation of Iranian attacks on targets in UAE, Qatar, Bahrain and Saudi Arabia - Disruption to maritime traffic in the Strait of Hormuz - Israel has reportedly suspended gas exports to Egypt","military_operations;casualties_humanitarian","IL;IR;SA","Op. Epic Fury;Iran Retaliation","FALSE"
"2026-02-28 10:40:02","The US military says damage from Iranian attacks have been minimal and no US personnel have been killed.","military_operations;casualties_humanitarian","IR;US","","FALSE"
"2026-02-28 09:40:05","BREAKING: Iran's defense minister Amir Nasirzadeh has been killed in Israeli strikes, according to Reuters report.","casualties_humanitarian","IL;IR","","TRUE"
"2026-02-28 03:00:03","BREAKING: Israeli media reports that assessments indicate the commander of the Revolutionary Guard Corps, Mohammad Pakpour, has been killed.","casualties_humanitarian","IL","","TRUE"
"2026-02-28 02:10:02","BREAKING: Senior Iranian Revolutionary Guards commanders and political officials among those killed in strikes, according to Reuters report.","casualties_humanitarian","IR","","TRUE"
"2026-02-25 12:00:03","BREAKING: Four people on US speedboat registered in Florida have been killed by Cuban coast guard after the vessel entered Cuban territorial waters","casualties_humanitarian","","","TRUE"
