"story_id","url","verdict","reason","headline","reviewed_at"
"st-20260101-russia-ukraine-war","https://www.youtube.com/watch?v=rh4Q_notQds","keep","Kyiv leadership showdown and its effect on the war's direction.","Ukraine’s leadership shakeup / View from Moscow / Is Russia a friend or foe? | Sources & Methods","2026-07-28T19:12:12Z"
"st-20260101-russia-ukraine-war","https://www.youtube.com/watch?v=zARxLdZUa5I","keep","Ukrainian air defence against Russian drone/missile salvos.","How Ukraine Is Stopping 90% of Russia's Drones (Exclusive) | WSJ","2026-07-28T19:12:12Z"
"st-20260101-russia-ukraine-war","https://www.youtube.com/watch?v=-1382H4Y1MI","keep","Campaign narrative of the Russian invasion.","Moscow and Petersburg Burn, Crimea Isolated - Russian Invasion of Ukraine","2026-07-28T19:12:12Z"
"st-20260101-russia-ukraine-war","https://www.youtube.com/watch?v=6oQWw6SO75g","keep","Equipment-loss analysis of this war; older but genuine background.","What can the equipment losses tell us about the war between Russia and Ukraine?","2026-07-28T19:12:12Z"
"st-20260101-russia-ukraine-war","https://www.youtube.com/watch?v=Y1wjehTPyAY","keep","Zelensky-Trump White House meeting — the peace track in the story title.","Zelensky describes 'good meeting' with Trump","2026-07-28T19:12:12Z"
"st-20260101-russia-ukraine-war","https://www.youtube.com/watch?v=FQCvuypnnQU","keep","Russian domestic opinion on the war.","How Russians feel about the war in Ukraine","2026-07-28T19:12:12Z"
"st-20260101-russia-ukraine-war","https://www.youtube.com/watch?v=McAxq8TctP8","keep","Ukrainian strike on a Russian target.","Ukraine 🇺🇦 attacks Russia’s 🇷🇺Amazon “Wildberries”","2026-07-28T19:12:12Z"
"st-20260101-russia-ukraine-war","https://www.youtube.com/watch?v=MGJqcD798J8","drop","About the US-Iran strike pause. Matched only because the video row is country-tagged UA; no Russia-Ukraine content.","US and Iran pause strikes for third night to make space for talks, US ambassador says | BBC News","2026-07-28T19:12:12Z"
"st-20260101-russia-ukraine-war","https://www.youtube.com/watch?v=rFn-nklQqpE","drop","Subject is nuclear use against Iran; Russia appears only as an escalation what-if, not as this war.","Would Nuking Iran Give Russia an Excuse?","2026-07-28T19:12:12Z"
"st-20260101-russia-ukraine-war","https://www.youtube.com/watch?v=GHs0p4BsNzM","keep","Russian home-front reaction to Ukrainian deep strikes.","Has the War Come Home to Russia?","2026-07-28T19:12:12Z"
"st-20260101-russia-ukraine-war","https://www.youtube.com/watch?v=599wR60gLRk","keep","Russian targeting of Ukrainian civilian fuel infrastructure.","How Ukrainians are navigating Russia's targeting of civilian gas stations","2026-07-28T19:12:12Z"
"st-20260101-russia-ukraine-war","https://www.youtube.com/watch?v=vAEV8Yx9l1E","keep","Ukraine's military AI use in this war.","Ukraine’s AI Strategy","2026-07-28T19:12:12Z"
