"story_id","update_id","url","verdict","reason","headline","reviewed_at"
"st-20260101-russia-ukraine-war","st-20260724-ai-use-in-war-across-the-world-u001","https://euromaidanpress.com/2026/07/12/ai-against-ai-over-ukraine-russias-shahed-now-sees-its-target-and-ukraines-interceptor-sees-shahed/","keep","Shahed guidance and Ukrainian interceptor drones are the current air war over Ukraine, not just an AI topic","AI vs AI over Ukraine: Russia's Shahed learns to see, Ukraine's interceptor learns to hunt it","2026-07-29T10:31:49Z"
"st-20260101-russia-ukraine-war","st-20260724-ai-use-in-war-across-the-world-u015","https://www.youtube.com/watch?v=zOA4pOa1i9Y","keep","Ukraine's deep strike on Moscow oil storage — a Russia-Ukraine war beat in its own right","The Genius Strategy Behind Ukraine's Largest Strike on Russia","2026-07-29T10:31:49Z"
"st-20260324-us-iran-strikes","st-20260101-russia-ukraine-war-u061","https://www.youtube.com/watch?v=Y1wjehTPyAY","drop","Zelensky-Trump meeting is the Ukraine peace track; nothing to do with the Iran war","Zelensky describes 'good meeting' with Trump","2026-07-29T10:31:49Z"
"st-20260101-russia-ukraine-war","st-20260511-ukraine-corruption-u010","https://en.interfax.com.ua/news/general/1187811.html","drop","Yermak property seizure is the domestic corruption case, which has its own story","Appeals court upholds seizure of Yermak's property in Dynasty case","2026-07-29T10:31:49Z"
"st-20260101-russia-ukraine-war","st-20260324-us-iran-strikes-u063","https://www.youtube.com/watch?v=HD8ZPivBp4Q","keep","the Moscow-Tehran weapons pipeline and a Ukrainian strike on it is a Russia-Ukraine war beat too","Ukraine's Strike on an Iranian Cargo Ship and the Moscow-Tehran Weapons Pipeline","2026-07-29T10:31:49Z"
"st-20260724-ai-use-in-war-across-the-world","st-20260324-us-iran-strikes-u052","https://www.local10.com/news/world/2026/07/24/drones-target-northern-iraqi-city-where-us-forces-are-based-as-us-iran-fighting-escalates/","drop","a drone attack on Irbil, not an account of AI or autonomy in war","Drones target Irbil, Iraq base hosting US forces amid Iran war escalation","2026-07-29T10:31:49Z"
"st-20260511-ukraine-corruption","st-20260101-russia-ukraine-war-u044","https://www.kyivpost.com/post/80861","drop","Zelensky travel and peace-track diplomacy, unrelated to the NABU case","Zelensky weighs US trip for Lindsey Graham's funeral and Trump meeting","2026-07-29T10:31:49Z"
"st-20260722-indian-politics","st-20260723-space-companies-u013","https://www.space.com/space-exploration/launches-spacecraft/skyroot-aerospace-india-first-private-orbital-launch-vikram-1","drop","a private launch milestone shares the country but is not Indian politics","India's Skyroot Aerospace launches Vikram-1, first private orbital rocket","2026-07-29T10:31:49Z"
"st-20260324-us-iran-strikes","st-20260724-ai-use-in-war-across-the-world-u005","https://www.forbes.com/sites/craigsmith/2026/03/26/fully-autonomous-drone-warfare-is-coming-to-ukraineand-iran/","keep","explicitly covers Iran fielding autonomous strike drones during the war","Fully autonomous drone warfare arrives in Ukraine — and Iran","2026-07-29T10:31:49Z"
"st-20260101-us-midterms-2026","st-20260724-ai-use-in-war-across-the-world-u019","https://www.armscontrol.org/act/2026-07/news/us-senate-panel-approves-ai-autonomous-weapons-rules","drop","Senate AI/autonomous-weapons legislation is not a midterm-election campaign development; shares 'Senate'/'Congress' words only","US Senate panel approves AI and autonomous weapons rules amid Pentagon policy shift","2026-07-29T14:31:35Z"
"st-20260101-russia-ukraine-war","st-20260724-ai-use-in-war-across-the-world-u002","https://www.pravda.com.ua/eng/news/2026/07/21/8045166/","keep","AI-guided interceptor fielded specifically against Russian Shahed drones is a direct Russia-Ukraine war development","Ukraine's SkyFall unveils AI-guided P1-SUN JetKiller to intercept jet-powered Shaheds","2026-07-29T14:31:35Z"
"st-20260101-russia-ukraine-war","st-20260724-ai-use-in-war-across-the-world-u006","https://www.armyrecognition.com/news/aerospace-news/2026/nato-approves-40-billion-counter-drone-initiative-to-defeat-low-cost-uav-threats","keep","NATO/Germany drone and counter-drone funding for Ukraine is direct war material support","NATO commits $40B to counter-drone systems as Germany funds 50,000 AI drones for Ukraine","2026-07-29T14:31:35Z"
"st-20260101-russia-ukraine-war","st-20260724-ai-use-in-war-across-the-world-u003","https://www.militarytimes.com/industry/techwatch/2026/07/01/video-shows-a-ukrainian-unit-running-down-a-russian-shahed-the-kind-of-kill-the-us-is-racing-to-reproduce/","keep","Event is a Ukrainian unit downing a Russian Shahed drone in combat, a war development even though the article frames it around US emulation","US races to reproduce Ukraine's cheap drone-on-drone Shahed intercepts","2026-07-29T14:31:35Z"
